n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex,flat
242,242,56815.0456,0.98,0.92,1,35,0.96,786.8346908434,422751.9848519,6
243,243,273862.38,0.93,0.98,1,45,0.99,792.1296458622,422765.7302707,8
244,244,281547.8569,0.93,0.96,1,45,0.94,783.6314034079,422743.8923678,8
245,245,268222.7354,0.98,0.96,1,45,0.94,803.831175752,422743.8923678,8
246,246,261031.4561,0.97,0.99,1,45,1.0,812.5385849646,422768.1698201,2
247,247,397005.9095,0.92,0.92,1,50,0.92,762.5949640304,422734.5145295,6
248,248,591247.3083,0.94,0.98,1,60,0.92,796.169600331,422735.7998837,10
249,249,168431.1169,0.94,0.99,1,40,0.94,800.4187215581,422743.2496907,6
250,250,66966.0874,0.91,0.97,1,35,0.98,779.8006156973,422762.0053672,10
251,251,65780.4107,0.96,0.91,1,35,0.94,774.5056606786,422742.6070136,4
252,252,484348.7164,0.94,1.0,1,55,0.92,804.6678427853,422735.7998837,10
253,253,374720.6532,0.96,0.97,1,50,0.97,800.0003880415,422755.7097554,4
254,254,377598.9468,0.97,0.92,1,50,0.98,782.7947363746,422761.3626901,8
255,255,-57933.3912,0.95,0.97,1,30,0.99,795.9604335727,422765.0875936,6
256,256,384342.4517,0.93,0.98,1,50,0.94,792.1296458622,422743.2496907,6
257,257,494763.4167,0.91,0.93,1,55,1.0,762.8041307887,422770.7405284,10
258,258,486801.5167,0.95,0.93,1,55,0.97,778.9639486641,422756.3524325,6
259,259,493577.005,0.91,0.96,1,55,0.97,775.5514944702,422755.0670783,2
260,260,56468.7877,0.99,0.91,1,35,0.95,786.6255240851,422747.6172713,6
261,261,-46852.2154,0.91,0.99,1,30,0.97,788.2988581517,422755.7097554,4
262,262,574953.4807,1.0,0.99,1,60,0.91,824.6584483711,422729.5042718,4
263,263,476478.2742,1.0,0.92,1,55,0.95,794.9145997811,422748.2599484,8
