n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
51,51.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.9,0.8,0.9,20.0,-434.39171304218473,86.33626435380405,569.6406522247281,737.6200988963487,2.0
52,52.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.8,0.9,50.0,-155.456394050328,107.28334889774962,520.034092224728,2703.5291047250935,8.0
53,53.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.9,1.0,25.0,-785.5103627291293,22.074667526002244,560.1646037528191,836.9179696662056,10.0
54,54.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.8,0.7,30.0,-341.71962584745563,104.08422941240883,520.034092224728,1965.9213471263974,6.0
55,55.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.9,0.9,0.9,50.0,-674.1844018501741,22.074667526002244,652.6396037528191,829.1203880110872,10.0
56,56.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.8,0.8,0.7,25.0,-225.13436606566967,107.28334889774962,480.2360922247281,854.4572649684934,2.0
57,57.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.9,0.8,0.8,55.0,-294.74751663997944,104.90280256184363,500.1350922247281,2596.0489702015566,8.0
58,58.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.7,1.0,0.9,25.0,-553.3970558686849,28.838530453576148,594.65799528091,636.6280457130782,6.0
59,59.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.7,1.0,1.0,50.0,-634.763556801433,22.074667526002244,594.65799528091,836.9179696662056,10.0
60,60.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.7,0.9,55.0,-179.55879216072367,107.28334889774962,507.60858069663703,3294.823228322946,10.0
61,61.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.8,0.7,0.9,50.0,-310.68106964694385,105.70624730605883,539.9935806966371,2656.103909625937,8.0
62,62.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.9,0.8,0.7,25.0,-725.917318295186,22.074667526002244,569.6406522247281,661.7367940778461,8.0
63,63.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.8,0.9,0.8,55.0,-255.56864618663496,107.28334889774962,620.254603752819,2665.9343702435726,8.0
64,64.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.7,1.0,45.0,-550.9464072179471,78.23144437675305,604.7635806966371,2405.2540302940274,10.0
65,65.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,0.8,0.7,45.0,-231.85581337014384,107.28334889774962,480.2360922247281,2628.3396357620536,8.0
66,66.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.9,0.8,55.0,180.96241186326654,107.28334889774962,637.393003752819,1483.346123047867,4.0
67,67.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.8,1.0,0.8,35.0,-586.1105291360851,22.074667526002244,560.4971152809101,669.5343757329645,8.0
68,68.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,0.7,1.0,30.0,-488.17549660188763,22.074667526002244,479.9035806966371,533.3411084201972,6.0
69,69.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.9,1.0,0.8,35.0,-97.33607336985169,107.28334889774962,580.3961152809101,1483.346123047867,4.0
70,70.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,0.9,0.9,60.0,-69.17576529692313,107.28334889774962,520.3666037528191,3294.823228322946,10.0
71,71.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.8,0.7,1.0,25.0,-324.6742637563076,105.31286268931478,501.88830069663703,1524.404217250283,4.0
