n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
1079,1079.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.8,0.9,1.0,30.0,-424.2871031875415,4.435883168136524,650.2231640805235,91.98747777246781,4.0
1080,1080.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.7,0.7,0.9,40.0,-309.8446988719432,23.078289705525684,703.0346476724711,340.89787010038464,2.0
1081,1081.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.7,1.0,0.9,40.0,-437.9189652324914,4.435883168136524,675.560487672471,117.30354667223224,6.0
1082,1082.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.7,1.0,0.8,50.0,-392.3251360833513,15.319057170482901,665.2451312644187,477.72076606171083,8.0
1083,1083.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,0.8,0.8,50.0,-415.9362460023256,14.9190934620702,718.8391312644187,425.07071925530846,8.0
1084,1084.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,0.7,0.8,0.8,40.0,-349.42040609564845,4.435883168136524,540.6031312644187,124.89589844073718,8.0
1085,1085.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.7,0.7,1.0,30.0,-423.44710580585337,23.078289705525684,740.8241640805232,340.89787010038464,2.0
1086,1086.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.9,0.9,1.0,30.0,-480.29807185613913,4.435883168136524,759.0942440805235,111.39564096181242,6.0
1087,1087.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.8,0.9,0.7,60.0,-321.77851894547416,22.29896888868372,622.8535748563663,716.5823377216565,8.0
1088,1088.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.9,1.0,0.9,60.0,-326.78168327106033,23.078289705525684,646.4746476724711,666.3187750168108,6.0
1089,1089.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,0.9,0.8,40.0,-322.77088913713294,23.078289705525684,692.0421312644187,405.69329469753785,2.0
1090,1090.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.7,0.8,0.9,50.0,-264.2351442912069,23.078289705525684,578.3926476724711,487.40946640930946,4.0
1091,1091.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.8,0.9,30.0,-450.91195910239463,4.435883168136524,680.515647672471,144.3040616300818,10.0
1092,1092.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.8,0.7,30.0,-366.01003479960673,23.078289705525684,668.5978148563663,373.29558239896124,2.0
1093,1093.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.8,1.0,40.0,-516.0473234117547,4.435883168136524,821.2151640805233,144.3040616300818,10.0
1094,1094.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.7,0.7,30.0,-390.55560416050594,4.435883168136524,604.9366148563663,118.98799273031736,8.0
1095,1095.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,0.7,0.7,50.0,-274.7719388491729,23.078289705525684,654.2526148563663,340.89787010038464,2.0
1096,1096.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8,1.0,0.7,30.0,-424.7115506711322,4.435883168136524,654.2526148563663,97.89538348288765,4.0
1097,1097.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,0.9,40.0,-447.7102708888828,22.29896888868372,783.425647672471,388.67645562712283,2.0
1098,1098.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.7,1.0,1.0,50.0,-371.7552797495043,23.078289705525684,713.3500040805234,552.2048910064627,4.0
1099,1099.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.8,1.0,0.9,30.0,-394.56823520465025,4.435883168136524,612.4336476724711,78.48722029354303,2.0
1100,1100.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,0.9,1.0,1.0,30.0,-467.95826888008185,4.435883168136524,684.2641640805234,156.1198730509215,10.0
1101,1101.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.9,0.9,0.9,40.0,-395.3442694522204,23.078289705525684,756.6286476724712,519.8071787078861,4.0
1102,1102.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.9,0.7,0.9,60.0,-312.4037303680592,23.078289705525684,721.304727672471,569.1256381210809,6.0
1103,1103.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.8,0.9,0.8,60.0,-204.22298334893108,23.078289705525684,660.6430912644187,519.8071787078861,4.0
1104,1104.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.7,0.8,0.9,40.0,-372.1951230994452,4.435883168136524,578.3926476724711,105.48773525139258,6.0
1105,1105.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,0.8,0.9,50.0,-426.6328327830688,17.228584059626538,756.6286476724712,501.3770466711677,8.0
1106,1106.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,0.9,0.8,0.7,50.0,-188.18561713439288,23.078289705525684,570.8956148563664,373.29558239896124,2.0
1107,1107.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.7,0.9,0.8,30.0,-400.83566476865786,4.569773722482594,637.7709712644187,74.58829443197446,2.0
1108,1108.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.9,0.9,1.0,40.0,-488.60684217021975,8.126778234860332,794.4181640805233,234.80253486946575,8.0
1109,1109.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,0.8,40.0,-396.8719290674219,23.078289705525684,745.6361312644187,405.69329469753785,2.0
1110,1110.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.7,1.0,60.0,-323.44313548429886,23.078289705525684,821.2151640805233,340.89787010038464,2.0
1111,1111.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,0.7,0.9,50.0,-424.0160034374098,11.036907577547803,703.0346476724711,341.3539040666269,10.0
1112,1112.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,1.0,0.7,40.0,-418.6920020153928,4.435883168136524,654.2526148563663,156.1198730509215,10.0
1113,1113.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.7,0.8,50.0,-352.24988449606644,23.078289705525684,745.6361312644187,569.1256381210809,6.0
1114,1114.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,0.9,0.7,40.0,-417.83316007469887,4.435883168136524,654.2526148563663,150.21196734050164,10.0
1115,1115.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.7,0.9,30.0,-468.00726585212163,14.616883262425365,783.425647672471,264.3354647174264,4.0
1116,1116.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.9,0.9,0.7,50.0,-343.7554974115334,19.359945033123836,645.7256948563663,602.2017006883616,8.0
1117,1117.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.7,0.8,1.0,60.0,-399.0889067166708,18.312927771802244,713.3500040805234,538.8854114822418,8.0
1118,1118.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.8,0.7,60.0,-234.4882539559751,23.078289705525684,604.9366148563663,487.40946640930946,4.0
1119,1119.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.8,0.8,0.9,30.0,-400.80701698103,4.435883168136524,612.4336476724711,105.48773525139258,6.0
1120,1120.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,0.9,0.7,40.0,-404.0709205607234,4.435883168136524,627.4556148563663,130.80380415115704,8.0
1121,1121.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,0.8,0.7,60.0,-223.28555547060608,23.078289705525684,654.2526148563663,601.5233504196575,6.0
1122,1122.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.9,50.0,-442.7843420028291,17.228584059626538,783.425647672471,467.0086083806954,6.0
1123,1123.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.7,1.0,40.0,-491.06067801653654,12.39118903747125,821.2151640805233,330.8959182416339,8.0
1124,1124.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.8,0.7,60.0,-143.34893153535208,23.078289705525684,604.9366148563663,373.29558239896124,2.0
1125,1125.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.9,0.9,0.7,30.0,-392.53739077724777,18.312927771802244,681.0496148563664,305.7502332188184,2.0
1126,1126.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.9,0.9,60.0,-356.22215186284245,22.29896888868372,680.515647672471,716.5823377216565,8.0
1127,1127.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.9,0.7,0.9,30.0,-427.27520503299,4.435883168136524,646.4746476724711,99.57982954097272,6.0
1128,1128.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.9,0.9,1.0,50.0,-291.28822847146665,23.078289705525684,684.2641640805234,405.69329469753785,2.0
1129,1129.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.9,1.0,30.0,-507.61346628415515,4.435883168136524,781.9663640805235,111.39564096181242,6.0
1130,1130.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,0.7,1.0,0.7,60.0,-191.27954984686062,23.078289705525684,502.8136148563663,552.2048910064627,4.0
1131,1131.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.7,1.0,0.7,60.0,-292.5665255155438,23.078289705525684,627.4556148563663,894.5465430375071,10.0
1132,1132.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.8,0.7,50.0,-389.6995623502362,18.04948436393535,707.8466148563664,614.0294125929523,10.0
1133,1133.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,0.8,0.9,0.8,40.0,-283.9540263912347,23.078289705525684,574.6441312644188,519.8071787078861,4.0
1134,1134.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,0.7,0.7,50.0,-213.9444121976921,23.078289705525684,654.2526148563663,340.89787010038464,2.0
1135,1135.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.8,0.8,0.8,50.0,-350.2442852840547,12.39118903747125,574.6441312644188,346.68220330026907,8.0
