n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
833,833.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.7,0.9,40.0,-967.8880382703672,123.94374175228508,2906.9054205446632,2513.422326629025,4.0
834,834.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.7,1.0,60.0,-656.4652800851206,130.58794234320223,2824.7224204236268,3639.1268213130256,6.0
835,835.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.7,0.9,60.0,-121.46840919932237,130.58794234320223,2672.0166006051813,1944.7167332558456,2.0
836,836.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.8,0.9,40.0,-666.6109685272146,123.94374175228508,2326.257420423627,2513.422326629025,4.0
837,837.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.7,1.0,50.0,-1303.4551485532231,68.90193226572049,2988.881480484145,1645.1552771195327,8.0
838,838.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.8,0.8,0.9,40.0,-1404.9348350033529,77.404691278589,3227.768480484145,1558.1381383897024,6.0
839,839.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,0.9,60.0,-516.0999045816858,130.58794234320223,3478.514160605181,1944.7167332558456,2.0
840,840.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,25.0,-2357.0140771931347,41.50495899604326,3682.2390006051814,1005.6107053696289,10.0
841,841.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.9,0.9,30.0,-1180.2798197955817,119.96669715945328,2965.452600605181,1699.268152240132,2.0
842,842.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,1.0,1.0,45.0,-1781.7923553292967,70.24022911054423,3869.7015405446637,1693.4087145273106,8.0
843,843.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.8,0.9,30.0,-1622.914796414232,41.50495899604326,2818.734600605181,981.2876435893429,10.0
844,844.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.9,25.0,-1493.7639987446814,77.9143539830844,3112.170600605181,862.7331947238666,2.0
845,845.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,1.0,50.0,-545.1817283498134,130.58794234320223,2818.734600605181,2073.835755517876,2.0
846,846.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,1.0,0.9,50.0,-1139.1429507447642,130.58794234320223,3518.0799405446633,2727.3622661534205,4.0
847,847.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,1.0,40.0,-1987.4380987167194,52.38197966632623,3794.973600605181,1328.469547707779,10.0
848,848.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,1.0,0.9,20.0,-2460.5989370417897,41.50495899604326,3869.7015405446637,981.2876435893429,10.0
849,849.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.8,0.9,55.0,-1173.1603646172741,109.13859191897987,3556.0866006051815,3256.954349248236,8.0
850,850.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.9,0.9,20.0,-2009.110451094687,41.50495899604326,3150.196040484145,676.3356085626353,6.0
851,851.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,1.0,0.9,60.0,-1160.6951094306082,130.29885231276955,3869.7015405446637,4278.034793040378,8.0
852,852.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,0.9,1.0,55.0,-1114.0426531961841,104.23114909645169,3302.496420423627,3124.9902292881457,8.0
853,853.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,0.8,0.9,20.0,-1520.6677096986577,58.508503492874055,2782.312140423627,565.505141099451,2.0
854,854.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.9,1.0,35.0,-1253.2314363880103,101.2290504822933,2965.452600605181,1388.3806599396728,2.0
855,855.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.8,1.0,60.0,-777.8897007864228,122.98836071631062,3110.630260544663,4031.7880686951094,8.0
856,856.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.8,0.9,1.0,55.0,-751.7414447711882,130.58794234320223,3466.655480484145,2856.4812884154503,4.0
857,857.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.9,1.0,60.0,-105.97320689104072,130.58794234320223,2472.975420423627,2073.835755517876,2.0
