n,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex,flat
322,322,-362912.2732,0.7,0.7,1,30,0.9,2,1,0,0,1,1,1,0,1,1,0,79.46037491900935,58.56305973937023,36.04300980127835,1034.7321132738643,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.8414,23.3405,47525.59636277096,1170.1652925356,1316.0278616,8
323,323,-567880.1635,0.7,0.9,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,91.98847938045796,72.09200795166336,38.1071801308487,1067.1798725043056,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,9.3251,28.5262,55405.88972635081,1660.6460823534,1789.676751,10
324,324,19475.8757,1.0,0.8,1,55,1.0,2,1,0,0,1,1,1,0,1,1,0,52.3539054092747,35.51549391041297,31.18029797281683,971.1974390134048,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.28055825819138763,13.3202,15.7783,34744.838228859524,589.677218144,1127.0929496,8
325,325,-15909.153,0.8,0.7,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,92.06013749591688,72.23165372919999,38.04582157721972,1068.18564588748,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.18021117534647563,9.4269,21.4238,73804.29717459623,1661.3369610331,1224.5660851,2
326,326,58757.7064,0.8,1.0,1,55,0.9,2,1,0,0,1,1,1,0,1,1,0,37.76263271032537,20.844282955819104,21.254092817388916,592.554286633039,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5168579387065148,8.5961,16.7899,18383.246605638,332.2722210031,882.3923045,6
327,327,-274971.6406,0.8,0.9,1,20,1.0,2,1,0,0,1,1,1,0,1,1,0,49.7933984577335,30.3067705853057,29.216722161957975,825.0772611311166,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.42,19.0607,26579.491899761746,542.3633256277,1071.6446398,2
328,328,-139161.677,1.0,1.0,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,54.193560230434244,35.56368067113854,25.670182285797043,644.1631488534696,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.308,26.824,31721.501020430747,899.1061771448,1082.0597223,4
329,329,-54930.1238,1.0,0.7,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,60.5381508434479,39.47391273769609,28.854324178813435,814.4057491755627,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.07358102060137532,14.074,23.7737,41136.69174361971,1032.615646091,1115.7132676,4
330,330,-269880.6389,0.8,0.9,1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,90.92367545554535,71.45311709335147,37.3446927927867,1067.8725563401151,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,11.3318,19.5892,70590.95880123669,1450.4407468458,1418.2692537,6
331,331,-136114.4234,0.7,0.8,1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,83.21818915327341,64.51713620121683,33.93817606665745,893.7617628676617,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.6194,18.4786,56952.7225395055,1101.4220621588,1352.7637402,10
332,332,-144180.8479,1.0,0.7,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,66.4327593343026,49.59843197100951,27.611643403580175,728.0288603361789,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.5262,24.7399,44277.80513754346,1144.1777501606,1516.4177785,8
333,333,-40303.5248,0.9,1.0,1,35,0.9,2,1,0,0,1,1,1,0,1,1,0,42.94422897360262,23.85883975043002,24.26928219331512,617.5575908977603,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.6594,15.0603,21737.11706407088,352.4422766987,867.6509993,4
334,334,-429690.4446,1.0,0.9,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,80.52165645956403,60.76651996491892,32.981498112497704,844.2989312634141,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.9284,24.9324,51183.04193756329,1335.0500028617,1570.3648329,8
335,335,-116361.3961,0.9,0.7,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,73.94329245825533,56.72863794531567,25.879317242673594,666.2506603700649,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.415,17.8932,51702.04432503998,959.8743263313,1518.7306634,8
336,336,-317504.0995,0.7,0.7,1,25,1.0,2,1,0,0,1,1,1,0,1,1,0,65.5590633173723,45.7373392504458,28.18814852723007,817.5742434513184,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.3851,20.2154,39983.953922352914,848.447008233,1290.2740087,4
337,337,-284794.645,0.9,0.7,1,35,1.0,2,1,0,0,1,1,1,0,1,1,0,58.62894301096243,43.54991883944718,23.521291855608027,593.5943811340334,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.6151,23.2821,41809.138415435336,1015.1163204717,1222.5222182,2
338,338,-70655.1407,0.8,0.7,1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,62.62523733246948,42.934121598394356,30.53561348269245,864.0535419098234,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009304337890234453,13.2957,27.0283,36487.47558501596,1041.2976814536,1510.0511769,8
339,339,-340737.8071,1.0,0.9,1,30,0.9,2,1,0,0,1,1,1,0,1,1,0,70.6311992852834,50.631736201265,33.542132916244434,999.9785157215342,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.8257,25.9031,39655.035286635495,1086.2727748411,1237.4378794,10
340,340,45110.3151,0.9,0.8,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,91.05883359905624,69.67840962903765,36.81598572902361,1068.3947587424661,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.30328512990796186,13.5608,17.7525,71106.43972950094,1323.6339651851,1528.3810507,8
341,341,-221503.0388,0.7,1.0,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,83.77434945084354,65.51900417081634,33.00207613269689,926.7894287503225,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,11.5447,19.7859,60296.565829524414,1244.2602769128,1602.1125302,6
342,342,-471661.4816,1.0,0.9,1,25,1.0,2,1,0,0,1,1,1,0,1,1,0,83.68476015498126,63.19101594562342,31.611041224833194,861.6042039787847,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.6569,21.6569,58098.61770947077,1310.7303101391,1370.3147258,2
343,343,-1927.9727,0.7,0.8,1,45,1.0,2,1,0,0,1,1,1,0,1,1,0,49.01510349866881,29.55900968600193,28.059872359842927,760.356081580827,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.17334576620554618,10.7263,14.5707,28462.398726308435,446.0541753137,1054.5867823,2
344,344,-90060.1925,0.7,0.9,1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,57.77224101256988,36.724433845455806,33.90173407256955,966.227487383459,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.1266,16.4462,35863.36133345985,635.6982924826,945.828691,2
345,345,-303298.801,0.8,0.9,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,91.24699761604336,72.84923893790872,37.63260245072505,1234.6979848172818,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,10.635,23.2213,60901.849975114055,1485.6522454592,1817.2575239,10
346,346,-28540.9181,0.8,0.8,1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,46.0528724429717,26.607535171615623,26.31658092377367,633.3270752590417,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.017685185147202083,7.4122,16.5868,22943.557296105173,410.2956278752,902.1973675,8
347,347,-74244.9777,0.8,0.9,1,55,0.9,2,1,0,0,1,1,1,0,1,1,0,74.60407350655385,55.089810595693685,33.30995664426639,892.5825364055196,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.05459027476846237,12.7842,20.5695,57192.597677641796,1238.6911906559,1237.0769257,6
348,348,-337095.8584,0.9,0.9,1,35,1.0,2,1,0,0,1,1,1,0,1,1,0,69.19784114776478,51.995269787370326,26.170288857591242,673.2829234248305,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0747,25.1228,45204.98217364082,1183.6641721728,1594.2073306,8
349,349,34221.8058,1.0,0.9,1,55,1.0,2,1,0,0,1,1,1,0,1,1,0,59.608653883964166,33.37626163370836,34.30777610385969,762.7466143291422,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.360323834789274,12.8212,14.1689,36400.81160753137,556.2330592863,1088.1240736,8
350,350,82367.9474,0.9,0.9,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,69.46472118465329,47.819511309161314,34.68311682977066,1006.2981574189257,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.43921660901828763,10.2579,16.4578,49290.90344096304,862.5083252726,1055.1423985,2
351,351,81672.8884,0.7,0.9,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,47.86493093242198,28.64297409159982,28.09730383931839,658.2733328209181,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6100191300854653,12.3512,13.9066,30394.385880384543,455.0476221978,883.3881477,2
352,352,97731.5255,0.7,0.8,1,55,1.0,2,1,0,0,1,1,1,0,1,1,0,37.89451623432502,18.601643750785993,21.281732945717092,443.80303393209323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9319247497665833,7.6967,13.1625,16765.710889641825,239.0835000193,1038.4025478,10
353,353,-21270.4715,0.8,0.9,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,46.352151013085205,30.653576248984017,27.726982134606114,830.2792552202809,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.10010101421921751,11.0434,15.1955,29804.439656777144,486.8792784647,908.6978725,2
