n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
737,737,668485.6814,1.0,0.95,0.9,60,0.96,807.6619634625,1944.0785662341
738,738,113128.0778,0.96,0.98,0.9,40,0.98,804.2495092687,1950.3347129972
739,739,398363.6554,0.93,0.97,0.9,50,0.97,787.880524635,1947.2066396157
740,740,-180778.831,0.93,0.91,0.9,30,0.94,762.3857972721,1937.822419471
741,741,-24983.2821,0.93,0.92,0.9,35,0.96,766.6349184992,1944.0785662341
742,742,-357804.389,0.93,0.93,0.9,25,0.96,770.8840397264,1944.0785662341
743,743,-354883.9292,0.92,0.93,0.9,25,0.95,766.8440852576,1940.9504928526
744,744,670872.609,0.98,0.93,0.9,60,0.99,791.0838120705,1953.4627863787
745,745,-357974.0483,0.92,0.95,0.9,25,0.96,775.3423277119,1944.0785662341
746,746,678059.3167,0.95,0.91,0.9,60,0.98,770.4657062098,1950.3347129972
747,747,84098.6611,0.95,0.98,1,40,1.0,800.2095547998,2087.5122040926
748,748,537381.9286,0.91,1.0,0.9,55,0.98,792.5479793788,1950.3347129972
749,749,667715.2725,1.0,0.94,0.9,60,0.98,803.4128422354,1950.3347129972
750,750,-65078.1201,0.97,0.91,1,35,0.98,778.5456151474,2081.2560573295
751,751,85181.3095,0.96,1.0,1,40,0.95,812.747751723,2071.8718371849
752,752,506338.2479,0.96,0.98,1,55,0.98,804.2495092687,2081.2560573295
753,753,121484.71,0.96,0.93,0.9,40,0.93,783.0039031329,1934.6943460895
754,754,-188584.8026,0.91,1.0,0.9,30,0.97,792.5479793788,1947.2066396157
755,755,257763.6776,0.97,0.93,0.9,45,0.95,787.0438576017,1940.9504928526
756,756,379262.6124,0.92,0.91,1,50,0.98,758.3458428033,2081.2560573295
757,757,-27268.1769,0.95,0.94,0.9,35,0.93,783.2130698912,1934.6943460895
758,758,-197942.8777,0.96,0.98,0.9,30,1.0,804.2495092687,1956.5908597603
759,759,261550.98,0.94,0.95,0.9,45,0.94,783.4222366495,1937.822419471
760,760,-234302.9797,1.0,0.94,1,30,0.98,803.4128422354,2081.2560573295
761,761,-218792.5214,0.93,0.92,1,30,0.96,766.6349184992,2074.9999105665
762,762,-361907.2967,0.95,0.96,0.9,25,0.94,791.7113123455,1937.822419471
763,763,262274.0369,0.92,0.94,0.9,45,0.98,771.0932064847,1950.3347129972
764,764,-68054.9603,1.0,0.93,1,35,0.94,799.1637210082,2068.7437638034
765,765,263124.194,0.92,0.93,0.9,45,0.98,766.8440852576,1950.3347129972
766,766,119142.2348,0.97,0.92,0.9,40,0.95,782.7947363746,1940.9504928526
767,767,-25368.8696,0.91,0.93,0.9,35,0.99,762.8041307887,1953.4627863787
768,768,513807.9075,0.95,0.92,1,55,0.97,774.7148274369,2078.127983948
769,769,257646.7492,0.97,0.96,0.9,45,0.92,799.7912212832,1931.5662727079
770,770,-41234.5256,0.98,0.97,0.9,35,1.0,808.0802969792,1956.5908597603
771,771,366730.8921,0.99,0.91,1,50,1.0,786.6255240851,2087.5122040926
772,772,-62335.8471,0.96,0.96,1,35,0.92,795.7512668143,2062.4876170403
773,773,513037.4986,0.95,0.91,1,55,0.99,770.4657062098,2084.3841307111
774,774,-373805.9053,1.0,0.98,0.9,25,0.95,820.409327144,1940.9504928526
775,775,110939.8358,1.0,0.99,0.9,40,0.92,824.6584483711,1931.5662727079
776,776,241457.71,0.92,0.92,1,45,0.95,762.5949640304,2071.8718371849
777,777,238790.3101,0.92,0.98,1,45,0.92,788.0896913933,2062.4876170403
778,778,520733.5883,0.91,0.95,1,55,0.93,771.302373243,2065.6156904218
779,779,256126.9135,0.98,0.95,0.9,45,0.93,799.5820545249,1934.6943460895
780,780,-389924.1135,0.91,0.93,1,25,0.96,762.8041307887,2074.9999105665
781,781,-224913.9551,0.95,0.95,1,30,0.96,787.4621911184,2074.9999105665
782,782,224697.4532,1.0,0.98,1,45,0.94,820.409327144,2068.7437638034
783,783,229041.7361,0.93,1.0,1,45,1.0,800.6278883165,2087.5122040926
784,784,120172.4513,0.92,0.99,0.9,40,0.96,792.3388126205,1944.0785662341
785,785,650783.9803,0.98,0.93,1,60,0.93,791.0838120705,2065.6156904218
786,786,-26514.3014,0.94,0.96,0.9,35,0.92,787.6713578767,1931.5662727079
787,787,96724.1812,0.91,0.94,1,40,0.97,767.0532520159,2078.127983948
788,788,-398878.8381,0.94,0.98,1,25,0.95,796.169600331,2071.8718371849
789,789,-67579.0868,0.97,1.0,1,35,0.92,816.7877061918,2062.4876170403
790,790,-355124.1226,0.94,0.92,0.9,25,0.93,770.6748729681,1934.6943460895
791,791,666683.8367,0.99,0.98,0.9,60,0.97,816.3693726751,1947.2066396157
792,792,647906.8497,0.94,0.98,1,60,0.99,796.169600331,2084.3841307111
793,793,247253.0705,1.0,0.97,0.9,45,0.98,816.1602059168,1950.3347129972
794,794,-211327.6267,0.92,0.91,1,30,0.91,758.3458428033,2059.3595436587
795,795,371934.4288,0.94,0.95,1,50,0.99,783.4222366495,2084.3841307111
796,796,223798.1482,0.98,0.97,1,45,1.0,808.0802969792,2087.5122040926
797,797,89286.8022,0.94,1.0,1,40,0.94,804.6678427853,2068.7437638034
798,798,257802.6538,0.97,0.92,0.9,45,0.96,782.7947363746,1944.0785662341
799,799,379103.2112,0.92,0.95,1,50,0.94,775.3423277119,2068.7437638034
800,800,-394413.1878,0.93,0.94,1,25,0.96,775.1331609536,2074.9999105665
801,801,539082.1477,0.91,0.98,0.9,55,0.98,784.0497369245,1950.3347129972
802,802,-397912.8976,0.94,0.91,1,25,1.0,766.4257517409,2087.5122040926
803,803,366513.7153,1.0,0.98,1,50,0.91,820.409327144,2059.3595436587
804,804,652808.2554,0.94,0.97,1,60,0.94,791.9204791038,2068.7437638034
805,805,-65736.6102,0.93,0.99,1,35,0.98,796.3787670893,2081.2560573295
806,806,231254.6816,0.98,0.93,1,45,0.95,791.0838120705,2071.8718371849
807,807,-203629.555,1.0,0.98,0.9,30,0.99,820.409327144,1953.4627863787
808,808,-552703.4294,0.91,0.91,0.9,20,0.97,754.3058883344,1947.2066396157
809,809,82645.6576,0.97,0.96,1,40,1.0,799.7912212832,2087.5122040926
810,810,-366273.8218,1.0,0.95,0.9,25,0.91,807.6619634625,1928.4381993264
811,811,87814.9568,0.96,0.96,1,40,0.96,795.7512668143,2074.9999105665
812,812,649447.6675,0.94,1.0,1,60,0.95,804.6678427853,2071.8718371849
813,813,365619.7557,0.98,0.97,1,50,0.97,808.0802969792,2078.127983948
814,814,227829.4791,0.97,0.96,1,45,0.98,799.7912212832,2081.2560573295
815,815,-229635.1368,0.95,0.98,1,30,0.98,800.2095547998,2081.2560573295
816,816,375299.0164,0.96,0.95,1,50,0.91,791.5021455872,2059.3595436587
817,817,89750.3652,0.97,0.94,1,40,0.94,791.2929788289,2068.7437638034
818,818,537483.5542,0.92,0.99,0.9,55,0.97,792.3388126205,1947.2066396157
819,819,-603768.8158,0.98,0.99,1,20,0.93,816.5785394335,2065.6156904218
820,820,370986.6934,0.95,1.0,1,50,0.93,808.7077972541,2065.6156904218
821,821,514414.9154,0.93,0.94,1,55,0.98,775.1331609536,2081.2560573295
822,822,-232330.3765,0.96,0.97,1,30,1.0,800.0003880415,2087.5122040926
823,823,-559703.1109,0.93,0.91,0.9,20,1.0,762.3857972721,1956.5908597603
824,824,-77174.0075,1.0,1.0,1,35,0.97,828.9075695983,2078.127983948
825,825,-371634.3547,0.98,0.97,0.9,25,0.97,808.0802969792,1947.2066396157
826,826,-594164.3071,0.92,1.0,1,20,0.93,796.5879338476,2065.6156904218
827,827,83391.0012,0.96,0.99,1,40,0.98,808.4986304958,2081.2560573295
828,828,-218726.4034,0.92,0.99,1,30,0.91,792.3388126205,2059.3595436587
829,829,-183659.2554,0.93,0.91,0.9,30,0.97,762.3857972721,1947.2066396157
830,830,-599062.9722,0.95,0.96,1,20,0.96,791.7113123455,2074.9999105665
831,831,676177.7714,0.94,0.96,0.9,60,0.97,787.6713578767,1947.2066396157
