n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
455,455.0,1.0,0.0,1.0,1.0,2.0,2.0,0.7,0.7,0.7,0.9,20.0,-205.31527245814047,3.304230922637724,274.71225082541025,25.109081437353737,6.0
456,456.0,1.0,0.0,1.0,1.0,3.0,1.0,0.9,0.9,0.8,1.0,30.0,-195.90127294085394,6.6084749817854815,297.9900653469561,57.937632234711586,2.0
457,457.0,1.0,0.0,1.0,1.0,2.0,1.0,0.7,0.7,0.9,0.9,20.0,-251.1481515817424,1.7609146983568025,316.5814508254103,12.088638242061387,8.0
458,458.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.9,1.0,20.0,-287.1466331660392,2.336191878650031,371.51147260772893,20.78263494588021,10.0
459,459.0,1.0,0.0,1.0,1.0,1.0,2.0,0.7,0.7,1.0,0.9,50.0,-140.0325444630225,9.744629023205515,363.12005082541026,160.9746692718658,6.0
460,460.0,1.0,0.0,1.0,1.0,2.0,2.0,0.7,0.7,0.7,0.9,45.0,-94.97107530370879,9.744629023205515,274.71225082541025,160.9746692718658,6.0
461,461.0,1.0,0.0,1.0,1.0,3.0,2.0,0.8,0.8,1.0,1.0,45.0,-130.76474026079313,9.194281154186596,312.9800580861832,153.27145843917057,6.0
462,462.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.8,0.9,25.0,-259.4146984952679,5.859528792858796,371.0600726077289,53.77915965865228,4.0
463,463.0,1.0,0.0,1.0,1.0,2.0,1.0,0.8,0.8,0.9,1.0,45.0,-188.76611957311493,7.31875125910715,334.89145808618326,115.19191031855078,8.0
464,464.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.9,20.0,-303.4381240672936,1.7609146983568025,381.43005808618324,12.088638242061387,8.0
465,465.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9,25.0,-311.5702646715806,2.336191878650031,399.7400653469561,20.043264285577905,10.0
466,466.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.9,1.0,40.0,-219.01751299500705,4.204950471585056,332.95007260772894,52.33004960994997,10.0
467,467.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,1.0,0.9,35.0,-262.61563165682185,3.304230922637724,363.12005082541026,34.06517728649659,10.0
468,468.0,1.0,0.0,1.0,1.0,3.0,2.0,0.9,0.9,1.0,0.9,20.0,-249.4659612308955,3.304230922637724,331.29006534695606,25.109081437353737,6.0
469,469.0,1.0,0.0,1.0,1.0,3.0,2.0,0.9,0.9,0.8,0.9,35.0,-139.2701540985624,9.744629023205515,297.9900653469561,113.91022680517491,2.0
470,470.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0.8,0.9,1.0,45.0,-219.7114000993387,5.859528792858796,357.9350580861831,89.65827883562622,10.0
471,471.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,0.9,0.9,40.0,-166.80356571849907,8.610257067672498,332.95007260772894,127.67047563944533,6.0
472,472.0,1.0,0.0,1.0,1.0,3.0,2.0,0.9,0.9,0.9,1.0,25.0,-223.53238794079115,4.204950471585056,314.6400653469561,39.31230146522091,6.0
473,473.0,1.0,0.0,1.0,1.0,2.0,1.0,0.8,0.8,1.0,1.0,35.0,-222.09204461123403,7.982795416418341,355.8260580861831,83.14335826197306,2.0
474,474.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,1.0,30.0,-218.08170481487994,5.063408075481224,316.30007260772896,44.70708643779171,4.0
475,475.0,1.0,0.0,1.0,1.0,3.0,1.0,0.8,0.8,0.8,1.0,40.0,-145.71470219221422,7.982795416418341,279.68005808618324,100.30360978478404,4.0
476,476.0,1.0,0.0,1.0,1.0,1.0,2.0,0.7,0.7,0.7,0.9,30.0,-203.85161825451715,3.304230922637724,292.63505082541025,34.06517728649659,10.0
477,477.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,0.9,30.0,-273.7768803475181,3.304230922637724,371.51147260772893,29.587129361925165,8.0
478,478.0,1.0,0.0,1.0,1.0,2.0,1.0,0.7,0.7,1.0,1.0,40.0,-226.70280214992403,4.204950471585056,337.5160508254102,52.33004960994997,10.0
479,479.0,1.0,0.0,1.0,1.0,2.0,1.0,0.8,0.8,1.0,1.0,40.0,-196.21197968501167,9.194281154186596,355.8260580861831,110.4634584174797,2.0
480,480.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,35.0,-262.3479757828092,5.859528792858796,381.43005808618324,68.12764580089716,6.0
481,481.0,1.0,0.0,1.0,1.0,2.0,1.0,0.8,0.8,0.8,0.9,25.0,-240.0210550379034,2.336191878650031,313.9568580861832,17.365478617006474,8.0
482,482.0,1.0,0.0,1.0,1.0,3.0,2.0,0.9,0.9,1.0,1.0,35.0,-215.2639735359823,5.063408075481224,331.29006534695606,70.61837232238528,10.0
483,483.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,1.0,55.0,-91.04107946169742,11.53015096905002,316.30007260772896,204.95152774068796,4.0
484,484.0,1.0,0.0,1.0,1.0,3.0,1.0,0.8,0.8,0.8,0.9,35.0,-165.78667867420435,7.31875125910715,279.68005808618324,79.63790494691247,4.0
485,485.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,35.0,-256.16702255749686,5.859528792858796,392.44607260772887,78.89296231826168,8.0
486,486.0,1.0,0.0,1.0,1.0,2.0,1.0,0.8,0.8,0.7,1.0,40.0,-188.6271548007644,4.204950471585056,293.0222580861832,52.33004960994997,10.0
487,487.0,1.0,0.0,1.0,1.0,3.0,1.0,0.8,0.8,0.7,0.9,45.0,-99.72754614160141,9.744629023205515,263.0300580861832,137.44244803852035,4.0
488,488.0,1.0,0.0,1.0,1.0,2.0,2.0,0.7,0.7,0.9,1.0,55.0,-109.58540842127456,8.610257067672498,316.5814508254103,174.0035386193464,10.0
489,489.0,1.0,0.0,1.0,1.0,3.0,1.0,0.9,0.9,0.9,1.0,45.0,-133.07329279477122,9.744629023205515,314.6400653469561,123.9522274242671,2.0
490,490.0,1.0,0.0,1.0,1.0,3.0,2.0,0.9,0.9,1.0,1.0,60.0,-39.284122725327634,11.557899957417797,331.29006534695606,175.97127770748102,2.0
491,491.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,0.9,0.9,35.0,-213.50888872894407,5.063408075481224,332.95007260772894,67.87508273757904,10.0
492,492.0,1.0,0.0,1.0,1.0,2.0,1.0,0.7,0.7,0.7,0.9,20.0,-217.9639700640865,1.7609146983568025,274.71225082541025,13.976612642061387,10.0
493,493.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.9,35.0,-260.0508115742998,5.859528792858796,381.43005808618324,64.54447617601681,6.0
494,494.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0.8,0.7,1.0,30.0,-207.91179632307143,6.6084749817854815,310.94505808618317,57.937632234711586,2.0
495,495.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0.8,0.9,0.9,35.0,-230.46023239321255,7.31875125910715,357.9350580861831,79.63790494691247,4.0
496,496.0,1.0,0.0,1.0,1.0,2.0,1.0,0.7,0.7,0.8,0.9,35.0,-200.2670382465546,4.204950471585056,295.6468508254103,43.8426076127727,8.0
497,497.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,20.0,-299.6514232171112,1.7609146983568025,376.2450653469561,14.480694935623765,10.0
