,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
113,113.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.7,0.9,60.0,-770.0727056549147,130.29885231276955,3153.0405405446627,4278.034793040378,8.0
114,114.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.8,0.8,1.0,40.0,-1417.433158283872,60.93331026846043,2946.471200484145,1377.1320590572682,8.0
115,115.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,0.9,40.0,-1153.9506420941311,84.26963300998734,2818.734600605181,1380.2978353122498,4.0
116,116.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,1.0,0.9,40.0,-1910.1822472794697,52.38197966632623,3541.383420423627,1094.79818477766,8.0
117,117.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.9,1.0,50.0,-1223.650809736511,90.2139868922699,3150.196040484145,2056.043416929866,6.0
118,118.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,50.0,-1147.0848971268229,130.58794234320223,3869.7015405446637,2073.835755517876,2.0
119,119.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,0.8,1.0,50.0,-1010.4321706243245,80.09403807473525,2782.312140423627,2075.4610081582705,8.0
120,120.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.8,0.9,0.9,60.0,-748.2386554571656,130.58794234320223,3466.655480484145,3510.0077990509953,6.0
121,121.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,0.9,60.0,-496.8375664480798,130.58794234320223,3794.973600605181,1944.7167332558456,2.0
122,122.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.7,1.0,50.0,-847.2370706269022,68.90193226572049,2179.539420423627,1645.1552771195327,8.0
123,123.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,1.0,1.0,50.0,-1344.1218504444537,90.2139868922699,3353.920880484145,2056.043416929866,6.0
124,124.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,0.9,0.9,30.0,-2042.3089540860462,41.50495899604326,3314.3551005446634,981.2876435893429,10.0
125,125.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.7,1.0,40.0,-851.6780839175875,130.58794234320223,2672.0166006051813,2073.835755517876,2.0
126,126.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,0.9,1.0,40.0,-1564.9075362986828,52.38197966632623,2986.036980423627,1328.469547707779,10.0
127,127.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.7,0.9,40.0,-1110.201884347831,52.38197966632623,2179.539420423627,1094.79818477766,8.0
128,128.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,0.9,1.0,30.0,-1643.7541271045488,41.50495899604326,2801.2935405446633,1005.6107053696289,10.0
129,129.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.8,0.9,60.0,-897.6915837354642,130.29885231276955,3391.9275405446633,4278.034793040378,8.0
130,130.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,1.0,0.9,50.0,-471.52535040945173,130.58794234320223,2619.6934204236272,2727.3622661534205,4.0
131,131.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.9,1.0,30.0,-2081.7609163296297,41.50495899604326,3466.655480484145,853.1346878562751,8.0
132,132.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,0.9,1.0,60.0,-746.9540001819895,122.98836071631062,2986.036980423627,4031.7880686951094,8.0
133,133.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,0.9,1.0,40.0,-1759.0331326722644,52.38197966632623,3314.3551005446634,1126.8207313890969,8.0
134,134.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.9,1.0,30.0,-1896.9718907983765,41.50495899604326,3150.196040484145,853.1346878562751,8.0
135,135.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.8,1.0,60.0,-450.3606470843493,130.58794234320223,3274.7893206051813,2856.4812884154503,4.0
136,136.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.8,0.9,60.0,-1025.6036215935676,95.87431963506812,3274.7893206051813,3163.77599955805,10.0
137,137.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,40.0,-1476.2368567997705,80.09403807473525,3317.199600605181,1332.014446590384,4.0
138,138.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,0.7,0.9,40.0,-1501.9423436009936,52.38197966632623,2906.9054205446632,1094.79818477766,8.0
139,139.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.9,60.0,-1265.162218284648,95.87431963506812,3682.2390006051814,3163.77599955805,10.0
140,140.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.9,0.9,30.0,-2068.8245757666173,41.50495899604326,3466.655480484145,828.8116260759891,8.0
141,141.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,0.8,0.9,0.9,50.0,-454.0215748755685,130.58794234320223,2637.1344804841456,1944.7167332558456,2.0
