n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
43,43.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.9,0.9,20.0,-728.2289775566596,190.19516550018875,1393.0266910213288,1516.5636235701313,2.0
44,44.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.7,0.7,1.0,25.0,-361.60967267736885,190.19516550018875,769.425660696637,2430.9465689756044,4.0
45,45.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.8,0.7,0.9,45.0,-355.4340294942115,190.19516550018875,1098.9735241277006,4873.005066109692,10.0
46,46.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.7,1.0,0.9,45.0,338.3075668073785,190.19516550018875,824.77011528091,2355.6739842050215,4.0
47,47.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8,0.9,0.9,40.0,39.78166967958495,190.19516550018875,965.502603752819,1516.5636235701313,2.0
48,48.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9,45.0,319.2697115605682,190.19516550018875,1156.7151152809101,1516.5636235701313,2.0
49,49.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.9,0.9,1.0,55.0,816.939272376964,190.19516550018875,905.6296037528191,1591.8362083407142,2.0
50,50.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.8,0.9,1.0,25.0,-290.2253159707991,190.19516550018875,965.502603752819,1591.8362083407142,2.0
51,51.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.8,1.0,20.0,-1248.126320371727,56.00568523776178,1018.9184922247282,1348.0659560482732,8.0
52,52.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,30.0,-1133.339424573977,56.00568523776178,1006.2551152809101,1633.0198419145595,10.0
53,53.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,566.5550947559507,190.19516550018875,1377.341434468143,2430.9465689756044,4.0
54,54.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9,0.9,55.0,-255.80217294233523,190.19516550018875,1116.584603752819,4873.005066109692,10.0
55,55.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,0.9,0.9,25.0,-894.1298122804249,56.00568523776178,1183.664371021329,757.3331430573877,4.0
56,56.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.7,1.0,30.0,-240.96347369022882,190.19516550018875,1238.5484041277002,1591.8362083407142,2.0
57,57.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.9,20.0,-1448.5054563998567,56.00568523776178,1145.0020041277005,1612.1948006562468,10.0
58,58.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.8,1.0,1.0,55.0,43.82665217771967,190.19516550018875,959.6046352809101,4948.277650880274,10.0
59,59.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.9,0.9,1.0,35.0,-485.78266124063526,190.19516550018875,1323.239251021329,3270.0569296104945,6.0
60,60.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,0.8,0.9,25.0,-1235.7121801232543,56.00568523776178,1246.0001075745145,1327.2409147899605,8.0
61,61.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,152.3418863716358,190.19516550018875,1470.2658344681429,2430.9465689756044,4.0
62,62.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.9,60.0,363.3648650044702,190.19516550018875,1377.341434468143,2355.6739842050215,4.0
63,63.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,50.0,-12.92750883758286,190.19516550018875,1376.7194344681432,2430.9465689756044,4.0
64,64.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,55.0,623.2505553272496,190.19516550018875,1296.0840041277004,1516.5636235701313,2.0
65,65.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,1.0,0.9,45.0,-743.038571595821,163.03839425156465,1260.9035144681432,4263.470874722068,10.0
66,66.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.8,0.9,1.0,25.0,-846.2616049147367,56.00568523776178,845.1346037528192,1348.0659560482732,8.0
67,67.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.7,1.0,1.0,60.0,671.4809256507183,190.19516550018875,1195.8564344681429,2430.9465689756044,4.0
68,68.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.8,0.9,1.0,50.0,-143.2624205213967,190.19516550018875,919.474123752819,4109.167290245384,8.0
69,69.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.9,0.9,0.9,35.0,-416.0478307426234,190.19516550018875,1239.607291021329,3194.7843448399126,6.0
70,70.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.9,0.9,30.0,-1287.7702563071975,56.00568523776178,1300.102291021329,1612.1948006562468,10.0
71,71.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,1.0,40.0,-140.60464454233045,190.19516550018875,1299.480291021329,1591.8362083407142,2.0
72,72.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.9,0.7,1.0,40.0,101.37158156150082,190.19516550018875,909.000540696637,2430.9465689756044,4.0
73,73.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.9,0.7,1.0,30.0,-365.9594331988294,190.19516550018875,1085.1290041277005,1591.8362083407142,2.0
74,74.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,0.7,1.0,50.0,380.4922696187189,190.19516550018875,1024.6340041277006,1591.8362083407142,2.0
75,75.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9,0.9,0.9,60.0,-30.444072840718547,190.19516550018875,1041.043603752819,4873.005066109692,10.0
76,76.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.9,1.0,0.9,25.0,-259.4384656465062,190.19516550018875,945.76011528091,1516.5636235701313,2.0
