n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
117,117.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,60.0,-425.6977185266579,19.95577521581524,794.4181640805233,720.0221203166622,10.0
118,118.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,1.0,0.7,35.0,-392.93598454973034,17.228584059626538,681.0496148563664,387.15225840156336,4.0
119,119.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,1.0,0.7,40.0,-418.8655340044839,9.617224844721495,681.0496148563664,290.3096560096349,8.0
120,120.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.9,0.7,30.0,-436.10694531842336,4.435883168136524,668.5978148563663,130.80380415115704,8.0
121,121.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,0.9,0.9,60.0,-280.730015729981,23.078289705525684,612.4336476724711,748.0349467285823,8.0
122,122.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.9,1.0,55.0,-229.25714623606677,23.078289705525684,650.2231640805235,519.8071787078861,4.0
123,123.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,1.0,0.9,55.0,-404.60441434594645,19.359945033123836,756.6286476724712,720.1186602013825,10.0
124,124.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.9,0.7,30.0,-333.6240286630812,21.34758413565328,599.9814548563663,368.20023131139914,2.0
125,125.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.9,0.9,40.0,-430.8234497356119,4.435883168136524,675.560487672471,130.80380415115704,8.0
126,126.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,0.8,60.0,-175.92168283183037,23.078289705525684,608.6851312644187,519.8071787078861,4.0
127,127.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.9,20.0,-518.034780739287,4.435883168136524,729.8316476724711,150.21196734050164,10.0
128,128.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,0.9,30.0,-460.9456253916127,8.126778234860332,744.1768476724711,128.32602250183683,2.0
129,129.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9,0.7,60.0,-210.19767707003476,23.078289705525684,604.9366148563663,519.8071787078861,4.0
130,130.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,1.0,0.7,40.0,-359.42328378504396,4.971077571091431,570.8956148563664,130.61760539633434,6.0
131,131.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.9,0.8,40.0,-339.557530871182,23.078289705525684,665.2451312644187,519.8071787078861,4.0
132,132.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.9,0.8,35.0,-419.80750031300965,4.435883168136524,660.6430912644187,130.80380415115704,8.0
133,133.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.9,1.0,25.0,-406.7666473706614,4.435883168136524,616.1821640805234,91.98747777246781,4.0
134,134.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,0.7,60.0,-161.62618440166366,23.078289705525684,570.8956148563664,405.69329469753785,2.0
135,135.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,1.0,0.7,50.0,-348.2642670666269,14.616883262425365,599.9814548563663,453.1712795827561,8.0
136,136.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,1.0,0.7,45.0,-415.7097146358963,4.435883168136524,645.7256948563663,156.1198730509215,10.0
137,137.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,1.0,0.8,30.0,-408.72348499626474,9.617224844721495,660.6430912644187,205.98698603477175,4.0
138,138.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,40.0,-439.66532666639904,15.616849859709033,745.6361312644187,345.73330841108884,4.0
139,139.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.9,0.9,50.0,-314.7940500868228,23.078289705525684,680.515647672471,633.9210627182342,6.0
140,140.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.8,25.0,-467.45495931633536,4.435883168136524,718.8391312644187,111.39564096181242,6.0
141,141.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,60.0,-325.6589409519465,23.078289705525684,668.5978148563663,780.4326590271588,8.0
142,142.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,1.0,0.9,35.0,-378.91856050282615,16.098655575530614,646.4746476724711,284.1553270835871,2.0
143,143.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.9,1.0,55.0,-249.54835404654708,23.078289705525684,616.1821640805234,519.8071787078861,4.0
144,144.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,1.0,30.0,-502.47346471695715,4.435883168136524,740.8241640805232,150.21196734050164,10.0
145,145.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,1.0,45.0,-417.99507103979096,23.078289705525684,794.4181640805233,633.9210627182342,6.0
146,146.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,1.0,0.7,20.0,-373.28241175305664,4.435883168136524,536.8546148563664,97.89538348288765,4.0
147,147.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,1.0,1.0,45.0,-403.6750005118369,8.126778234860332,650.2231640805235,245.11740728197987,8.0
148,148.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,45.0,-385.6122545495836,23.078289705525684,767.6211640805233,438.0910069961145,2.0
149,149.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,1.0,0.9,50.0,-388.4323419902562,20.369443467053202,729.8316476724711,668.4105627781189,8.0
150,150.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.8,30.0,-412.67086453547944,4.435883168136524,642.7261312644187,117.30354667223224,6.0
151,151.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,1.0,1.0,35.0,-495.8214552316081,4.435883168136524,759.0942440805235,136.71170986157688,8.0
152,152.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.9,0.7,40.0,-227.88326721084155,23.078289705525684,536.8546148563664,405.69329469753785,2.0
