,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex,flat
112,112,-38053.2416,0.9,0.8,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,70.78958383532539,51.584953190053426,28.727637947212262,837.4898143682587,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.10205175352970393,11.3407,18.3837,51250.56601427714,983.7463848829,1193.1511056,4
113,113,201372.3856,0.9,0.7,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,92.16714340679603,74.17193612302351,30.9011098213871,757.4911317626326,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6689613568402428,12.0925,15.031,74024.17007119666,1151.1102631335,1497.3560737,8
114,114,-331091.0246,0.8,0.8,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,76.83334390808437,59.455927318308156,33.6221014687228,1044.6821631058554,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0696,25.5161,51419.29450791092,1376.9260615507,1540.5062665,8
115,115,-297695.5963,1.0,0.8,1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,85.2632844393964,64.8915150649979,36.337994333424014,1051.9686948766994,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,9.8371,22.1953,63856.67733500521,1488.2261046666,1252.7862319,4
116,116,-249325.3168,0.7,1.0,1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,66.98904318278147,50.41776434639141,32.861456024895986,1044.2763522618554,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,9.5412,26.7546,38998.78247619649,1103.5175636611,1374.2267272,8
117,117,-28243.6852,0.8,0.9,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,53.65957861182072,36.433940102763735,32.080140149294934,970.083413656733,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.10139360060996865,12.643,16.5046,35743.94426065814,635.1098427661,1120.6935929,6
118,118,-92.5058,0.9,1.0,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,56.22480895154871,39.468605520619874,21.482355216291143,517.2492974776851,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17298722040909542,10.6536,18.5259,39198.763572047625,756.1574703494,1200.5220006,2
119,119,-113124.9862,0.7,0.8,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,63.377589360221805,44.09667646077418,29.208370218780217,734.5537258118383,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.8219,25.8412,36556.004219431794,995.4878422946,1584.7603901,8
120,120,79322.8398,0.8,0.9,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,52.196607358259904,32.58123190406513,30.99278054883105,824.1019732032962,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5445052473649185,11.8377,14.7848,34392.40183631311,547.8679815752,918.2769885,6
121,121,80460.4738,1.0,0.9,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,56.731442826795046,39.68073205781085,34.12799391491119,1132.844106427563,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4978354055007806,11.7947,14.8738,41535.54431357329,667.8849918489,971.0778829,2
122,122,-67910.8972,0.7,0.7,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,87.06161539821183,65.54036178319603,34.76103824555886,895.0030536400741,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0451519619650322,12.2948,19.2384,60297.30549947043,1211.3002603177,1688.2102738,8
123,123,-151479.5549,0.8,1.0,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,71.43392633223188,51.770422710594744,29.03738234995177,835.0586047061573,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.9004,24.2945,48036.1366475338,1217.0461181837,1453.7910165,6
124,124,-505703.7271,0.9,0.9,1,30,0.9,2,1,0,0,1,1,1,0,1,1,0,68.35906881960392,48.566514301420234,31.88189791225622,906.2479907139274,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.1989,36.85,35601.35055081152,1381.5743190323,1509.976867,10
125,125,-193742.1247,1.0,0.7,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,68.69470075579383,50.13718833903494,32.65920526284308,875.1982899367923,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.8941,20.6231,48861.192236197996,1062.8426437365,1222.733546,2
126,126,-60383.425,0.7,0.9,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,44.17922397751996,27.009104180697808,25.112404157263164,765.2252871137612,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.9715,18.0559,23094.501674176347,447.2923010812,1101.7248316,10
127,127,-41868.4229,0.7,0.7,1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,50.88637023830419,30.566829487479662,29.961292706685505,794.3077091039386,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.1821,15.7352,27560.51037982507,467.3832354879,915.3283908,8
128,128,-376274.9665,0.9,0.9,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,70.39277309446263,51.91334618621911,27.619675716884625,630.7135342202441,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.2577,25.9239,40036.09164087106,1084.1650142363,1681.639247,10
129,129,71161.0017,0.9,0.8,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,97.58375374470754,76.85675679942335,37.59381348846691,1054.7478943123965,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3373164088011441,10.8668,18.3606,78396.79372714012,1505.8598810776,1396.8756395,8
130,130,-28761.0589,0.7,1.0,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,74.21148824771038,57.214423232944526,31.226995657550763,715.8446557600437,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.13202062583462842,9.2059,18.3452,57005.01009590972,1093.3421645606,1089.4383731,4
131,131,-139274.1847,0.8,0.9,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,47.9440249285152,29.223253761472282,27.476368159043695,761.3929007116052,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.706,16.6373,26645.85666360971,475.5590767494,1080.8810797,8
132,132,-187052.8371,0.7,0.9,1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,68.09879408798038,51.17910055405818,29.809515379458958,860.7392172621508,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0909,31.7902,44536.820575136284,1482.5807607385,1734.9436932,8
133,133,-181148.6122,0.9,0.9,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,69.12091053769976,49.720451252367894,27.952256787728764,690.6346017579833,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.4107,21.4098,44383.8540437419,993.7860073849,1512.9011235,8
134,134,-581766.1888,0.8,0.9,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,88.1101543418468,70.23706322187209,35.77762126941013,1072.2400989500343,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,10.2664,27.3961,57975.46544552973,1664.5671838391,1720.8339932,8
135,135,-50578.0151,1.0,0.8,1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,92.99779893130452,71.6682999213783,38.4115412625692,1066.8300809705988,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.12686401147080587,12.5911,21.1968,74680.32828878687,1663.2734212235,1505.5336131,4
136,136,45293.3121,1.0,0.8,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,56.86096593819819,35.21183373932007,33.248560789203715,966.3724078862301,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.38421821881421214,11.2413,16.0416,36677.247015540255,633.9616358866,961.6741971,10
137,137,-52860.1862,1.0,0.7,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,51.649921298110165,32.869036831752,30.702396436934063,823.9163520597239,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.4813,15.1547,31123.16377838496,507.2802698584,1076.8934525,4
138,138,-105791.623,0.9,0.7,1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,65.26316638618789,42.62155542276301,34.61534228594413,988.5532562015204,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.1935,16.2697,42343.35143691329,735.6069512399,1048.5445711,8
139,139,80231.9852,1.0,1.0,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,50.65338175431793,31.63545323747675,30.164668654010143,913.7565733232411,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.556610809737944,12.8426,14.4145,33262.857162515225,516.1736041197,938.774839,10
140,140,-320695.0957,0.8,0.9,1,30,0.9,2,1,0,0,1,1,1,0,1,1,0,76.20555777826263,53.78942510460366,32.99182560795565,725.9768767670405,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.2483,23.3458,43729.623820460125,1070.2299929181,1303.0453434,8
141,141,40033.4804,0.8,0.9,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,96.0436559750679,76.71430143758288,31.968557798933052,865.944763656059,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2752396075210867,7.4172,16.8868,76075.32274230395,1328.3193784107,1183.2652768,2
142,142,3117.6792,0.9,1.0,1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,55.963988047940944,36.29236848069714,33.1175520783662,968.5039735506639,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.23262053861180368,11.8828,14.1655,38708.44341847279,590.7921357061,950.2376528,4
