n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
108,108.0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,0.7,1.0,1.0,55.0,-313.3854309238205,23.078289705525684,740.8241640805232,628.468961850303
109,109.0,1.0,1.0,2.0,2.0,0.2,1.0,1.0,0.9,1.0,0.8,55.0,-290.6230142962775,23.078289705525684,718.8391312644187,445.773858531581
110,110.0,1.0,1.0,2.0,2.0,0.9,3.0,2.0,0.7,0.9,0.7,55.0,-288.6852028003179,12.39118903747125,502.8136148563663,385.85982918980267
111,111.0,1.0,1.0,2.0,2.0,0.9,2.0,1.0,0.7,0.9,0.7,55.0,-370.9090510763651,10.099107560903532,599.9814548563663,307.24839480627634
112,112.0,1.0,1.0,2.0,2.0,0.6,2.0,2.0,0.9,0.9,0.8,55.0,-286.5255180098266,23.078289705525684,683.5152112644187,656.9696173246339
113,113.0,1.0,1.0,2.0,2.0,0.7,3.0,1.0,0.9,0.8,1.0,55.0,-391.97706059287646,14.616883262425365,684.2641640805234,383.97385308557546
114,114.0,1.0,1.0,2.0,2.0,0.9,2.0,2.0,0.8,0.9,0.7,55.0,-362.2183320575096,12.39118903747125,622.8535748563663,385.85982918980267
115,115.0,1.0,1.0,2.0,2.0,0.9,2.0,2.0,0.9,0.7,1.0,45.0,-428.029581429882,14.616883262425365,759.0942440805235,431.66309873151766
116,116.0,1.0,1.0,2.0,2.0,0.3,2.0,1.0,0.7,1.0,0.9,55.0,-339.75623326509486,23.078289705525684,675.560487672471,506.6722263044884
117,117.0,1.0,1.0,2.0,2.0,0.5,3.0,1.0,0.8,0.9,0.9,55.0,-266.49369507205085,23.078289705525684,612.4336476724711,596.0712495517265
118,118.0,1.0,1.0,2.0,2.0,0.4,3.0,2.0,1.0,0.7,0.8,65.0,-157.20032547016996,23.078289705525684,642.7261312644187,470.3774571816659
119,119.0,1.0,1.0,2.0,2.0,0.7,2.0,1.0,0.7,0.8,0.9,45.0,-426.2375968705755,4.435883168136524,675.560487672471,111.188075480978
120,120.0,1.0,1.0,2.0,2.0,0.7,2.0,1.0,0.7,0.7,1.0,55.0,-342.9185517793042,23.078289705525684,713.3500040805234,653.0725605003879
121,121.0,1.0,1.0,2.0,2.0,0.4,2.0,1.0,0.7,0.7,0.9,55.0,-328.0487897467202,23.078289705525684,675.560487672471,470.3774571816659
122,122.0,1.0,1.0,2.0,2.0,0.4,2.0,2.0,1.0,0.8,0.8,55.0,-324.7113158174733,23.078289705525684,706.3873312644187,502.7751694802426
123,123.0,1.0,1.0,2.0,2.0,0.5,3.0,2.0,1.0,0.9,0.9,65.0,-282.2367595024753,23.078289705525684,680.515647672471,596.0712495517265
124,124.0,1.0,1.0,2.0,2.0,0.6,2.0,1.0,0.7,1.0,0.7,55.0,-343.6733002105389,14.616883262425365,599.9814548563663,388.44159895714074
125,125.0,1.0,1.0,2.0,2.0,0.1,3.0,2.0,0.9,1.0,1.0,45.0,-330.7726492438269,23.078289705525684,684.2641640805234,384.8754907586737
126,126.0,1.0,1.0,2.0,2.0,0.6,1.0,1.0,0.8,0.8,0.9,65.0,-279.25752742481836,23.078289705525684,729.8316476724711,624.5719050260574
127,127.0,1.0,1.0,2.0,2.0,0.9,2.0,2.0,0.9,1.0,0.9,55.0,-370.0213940352295,18.312927771802244,721.304727672471,645.9569725223924
128,128.0,1.0,1.0,2.0,2.0,0.3,2.0,2.0,1.0,0.9,0.8,55.0,-317.2136938937023,23.078289705525684,706.3873312644187,474.2745140059118
129,129.0,1.0,1.0,2.0,2.0,0.2,3.0,2.0,1.0,0.7,1.0,55.0,-220.38164806836383,23.078289705525684,718.3051640805235,348.5807216358511
130,130.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.8,1.0,0.9,55.0,-318.25274007294996,16.098655575530614,612.4336476724711,587.0966012805922
131,131.0,1.0,1.0,2.0,2.0,0.7,2.0,1.0,0.8,0.9,0.8,45.0,-390.8423670983006,11.036907577547803,660.6430912644187,290.642623662613
132,132.0,1.0,1.0,2.0,2.0,0.2,3.0,1.0,0.7,1.0,0.7,55.0,-217.64037959846968,23.078289705525684,502.8136148563663,445.773858531581
133,133.0,1.0,1.0,2.0,2.0,0.5,3.0,2.0,0.7,1.0,0.8,45.0,-310.6553635123928,14.616883262425365,540.6031312644187,355.1595199026576
134,134.0,1.0,1.0,2.0,2.0,0.2,3.0,2.0,0.7,0.7,0.7,55.0,-156.94231158338067,23.078289705525684,502.8136148563663,348.5807216358511
135,135.0,1.0,1.0,2.0,2.0,0.9,3.0,1.0,1.0,0.7,0.7,55.0,-311.32905709879765,17.228584059626538,604.9366148563663,529.72582633107
136,136.0,1.0,1.0,2.0,2.0,0.3,1.0,2.0,0.7,0.8,0.7,55.0,-193.50127638045018,23.078289705525684,627.4556148563663,441.8768017073352
137,137.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.8,1.0,1.0,65.0,-427.40835227606,14.9190934620702,767.6211640805233,534.6991730476664
138,138.0,1.0,1.0,2.0,2.0,0.9,2.0,2.0,0.9,1.0,0.9,55.0,-428.8728189248715,11.036907577547803,721.304727672471,351.70022752718376
139,139.0,1.0,1.0,2.0,2.0,0.4,1.0,2.0,1.0,0.7,0.8,65.0,-286.65223128702553,23.078289705525684,745.6361312644187,470.3774571816659
140,140.0,1.0,1.0,2.0,2.0,0.8,3.0,2.0,0.8,0.7,0.7,55.0,-211.93030328023667,23.078289705525684,536.8546148563664,713.9709282732953
141,141.0,1.0,1.0,2.0,2.0,0.9,3.0,2.0,0.8,0.8,0.9,55.0,-347.6451882789363,13.682790068623277,612.4336476724711,416.12088637234996
142,142.0,1.0,1.0,2.0,2.0,0.6,1.0,2.0,0.7,0.9,1.0,65.0,-254.04313766194633,23.078289705525684,740.8241640805232,656.9696173246339
143,143.0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,0.7,0.9,0.7,45.0,-355.64453545122564,16.098655575530614,627.4556148563663,377.6946403882416
144,144.0,1.0,1.0,2.0,2.0,0.3,3.0,2.0,0.8,0.8,0.8,55.0,-226.72177604843682,23.078289705525684,574.6441312644188,441.8768017073352
145,145.0,1.0,1.0,2.0,2.0,0.3,2.0,1.0,0.9,0.7,0.9,55.0,-279.8972826056994,23.078289705525684,721.304727672471,409.47908940875857
146,146.0,1.0,1.0,2.0,2.0,0.8,2.0,1.0,0.9,0.8,0.9,55.0,-375.3425064995916,19.10304629375288,721.304727672471,583.1762425674593
