n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
87,87.0,1.0,1.0,2.0,0.5,1.0,1.0,0.8,0.8,0.8,1.0,45.0,-1503.0459972286224,73.34474891161356,3227.768480484145,1292.9186963412244
88,88.0,1.0,1.0,2.0,0.4,3.0,2.0,0.9,0.9,0.8,1.0,55.0,-333.3518453912002,130.58794234320223,2654.5755405446635,2954.135247063008
89,89.0,1.0,1.0,2.0,0.5,2.0,2.0,0.8,0.8,1.0,0.7,55.0,-714.8123625711213,130.58794234320223,3353.920880484145,2982.5144363875947
90,90.0,1.0,1.0,2.0,0.6,1.0,1.0,0.8,0.8,1.0,0.7,45.0,-1784.8700461015462,73.34474891161356,3705.542480484145,1295.6286481007933
91,91.0,1.0,1.0,2.0,0.5,3.0,1.0,0.7,0.7,0.8,0.8,65.0,-94.93232734747286,130.58794234320223,2326.257420423627,3111.6334586496246
92,92.0,1.0,1.0,2.0,0.6,3.0,2.0,1.0,1.0,0.9,0.9,65.0,-313.5300541403163,130.58794234320223,2965.452600605181,3656.4887370223314
93,93.0,1.0,1.0,2.0,0.1,2.0,2.0,0.7,0.7,0.7,0.9,55.0,-217.35861617124303,130.58794234320223,2578.5873004236273,1577.807456468948
94,94.0,1.0,1.0,2.0,0.4,3.0,2.0,0.9,0.9,0.7,0.7,55.0,-371.6254867855208,130.58794234320223,2507.857540544663,2566.7781802769177
95,95.0,1.0,1.0,2.0,0.3,2.0,2.0,0.9,0.9,0.7,0.8,55.0,-505.5144352398382,130.58794234320223,2906.9054205446632,2280.160946428271
96,96.0,1.0,1.0,2.0,0.6,2.0,2.0,0.8,0.8,0.8,1.0,55.0,-936.1065938246355,97.69713597956785,2946.471200484145,2346.2018693187733
