n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
62,62.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.4,0.7,0.9,0.8,65.0,497.07872926779794,107.28334889774962,500.4676037528191,1540.4753628745211
63,63.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.4,0.9,1.0,0.9,45.0,121.66352191650364,107.28334889774962,580.3961152809101,1578.070097356041
64,64.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.1,0.7,0.9,0.7,55.0,491.60871274891815,107.28334889774962,500.4676037528191,573.0925131262303
65,65.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.9,1.0,1.0,0.9,55.0,-21.711884728057772,107.28334889774962,600.2951152809101,3127.7169561339915
66,66.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.7,45.0,-478.3578740716908,51.036069720851245,580.1240922247281,1516.0731231203283
67,67.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.8,0.8,0.9,0.7,55.0,-220.4948309297528,106.10900631115182,582.149323752819,2703.44596047932
68,68.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.8,0.9,0.8,0.9,65.0,-59.766958785531166,107.28334889774962,569.6406522247281,2817.7875843784013
69,69.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.4,0.9,0.8,0.9,55.0,326.98921214703915,107.28334889774962,612.5090922247281,1578.070097356041
70,70.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,0.9,0.9,0.9,1.0,55.0,-305.1656979385538,98.85987866875949,540.2656037528191,2866.2900028568847
71,71.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.6,0.9,0.9,0.9,45.0,-136.82233963188622,107.28334889774962,540.2656037528191,2197.928840867221
72,72.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.9,0.9,0.7,1.0,55.0,-81.74357003285418,107.28334889774962,460.0045806966371,3165.3116906155115
73,73.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.4,0.9,0.9,0.7,45.0,164.35828831780168,107.28334889774962,540.2656037528191,1502.880628393001
74,74.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.7,1.0,0.9,0.9,55.0,-42.210349708820345,107.28334889774962,637.393003752819,2507.8582126228116
75,75.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.4,1.0,0.9,0.7,65.0,250.67536267067217,107.28334889774962,560.1646037528191,1502.880628393001
76,76.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.8,0.7,0.7,0.9,55.0,166.9425606502905,107.28334889774962,420.20658069663705,2817.7875843784013
77,77.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.5,1.0,0.9,0.9,55.0,151.27382744067668,107.28334889774962,560.1646037528191,1887.9994691116308
78,78.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.7,0.9,65.0,212.67450370430905,107.28334889774962,479.9035806966371,3437.6463278895812
79,79.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,0.7,0.8,0.7,55.0,-128.08553186003576,104.90280256184363,460.33709222472805,3266.45599921665
80,80.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,0.8,0.9,1.0,0.8,55.0,-227.93220078037146,105.70624730605883,580.3961152809101,2727.2000905981467
81,81.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.7,1.0,0.7,1.0,55.0,-188.2030658509709,107.28334889774962,604.7635806966371,2545.452947104331
82,82.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.2,0.8,1.0,0.8,45.0,220.334246249073,107.28334889774962,660.3851152809101,920.6166193633405
83,83.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.7,1.0,0.8,0.9,55.0,173.7132342951259,107.28334889774962,520.034092224728,2507.8582126228116
84,84.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.2,1.0,0.8,0.8,55.0,537.8024119870912,107.28334889774962,520.034092224728,920.6166193633405
85,85.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.6,0.9,0.7,0.8,45.0,-76.30819464792096,107.28334889774962,460.0045806966371,2160.3341063857015
86,86.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.2,0.9,0.8,0.7,65.0,647.3091907257032,107.28334889774962,500.1350922247281,883.0218848818206
87,87.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.8,1.0,0.7,0.9,55.0,77.52994247942132,107.28334889774962,557.1319806966371,2817.7875843784013
88,88.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.8,0.9,0.8,0.8,55.0,-377.8991900583109,90.99004241841654,612.5090922247281,2294.1393039508175
89,89.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,0.5,0.9,0.7,0.9,55.0,61.06737273611277,107.28334889774962,460.0045806966371,1887.9994691116308
90,90.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,0.5,0.8,0.8,0.9,55.0,48.3609309961276,107.28334889774962,480.2360922247281,1887.9994691116308
91,91.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.7,0.9,0.7,0.8,65.0,-55.43023277758396,107.28334889774962,529.5101406966371,2470.263478141291
92,92.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,0.7,1.0,55.0,-9.152083441341789,107.28334889774962,572.3785806966371,2545.452947104331
93,93.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.9,0.9,1.0,1.0,65.0,-222.34392260935098,107.28334889774962,692.7701152809101,3165.3116906155115
94,94.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.6,1.0,0.7,1.0,55.0,41.5134894910597,107.28334889774962,604.7635806966371,2235.5235753487414
95,95.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.9,0.7,0.8,0.9,55.0,-108.21207439466191,107.28334889774962,514.3969722247281,3127.7169561339915
96,96.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.3,0.8,0.7,0.8,45.0,112.05908038714027,107.28334889774962,501.88830069663703,1230.545991118931
97,97.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.9,0.8,0.7,0.7,55.0,33.78428182606732,107.28334889774962,539.9935806966371,3052.527487170952
98,98.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.1,0.9,0.7,0.9,55.0,639.0110627121715,107.28334889774962,460.0045806966371,648.2819820892704
99,99.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.6,0.7,1.0,0.9,55.0,36.35601505105864,107.28334889774962,628.00011528091,2197.928840867221
100,100.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.4,0.9,0.7,0.7,45.0,-193.44069487467306,107.28334889774962,572.3785806966371,1502.880628393001
101,101.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.2,1.0,0.9,1.0,65.0,317.06312750710657,107.28334889774962,637.393003752819,995.8060883263804
102,102.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.7,0.9,0.7,0.9,55.0,-264.7773808959489,104.08422941240883,572.3785806966371,2412.8673691093163
103,103.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,1.0,55.0,-304.8113284231588,103.70331598241185,685.0246037528191,3328.30112147124
104,104.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.7,1.0,0.9,0.9,55.0,147.9927301552896,107.28334889774962,560.1646037528191,2507.8582126228116
105,105.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.6,1.0,1.0,0.7,45.0,-16.97347367607135,107.28334889774962,600.2951152809101,2122.739371904181
106,106.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.3,0.8,0.7,1.0,55.0,142.92107091324166,107.28334889774962,539.9935806966371,1305.7354600819706
107,107.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.4,0.7,0.9,1.0,55.0,-3.1070081398172134,107.28334889774962,500.4676037528191,1615.664831837561
108,108.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.2,0.8,0.8,0.9,55.0,376.05196821168164,107.28334889774962,542.0188122247281,958.2113538448607
109,109.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.8,0.8,0.7,0.9,55.0,-185.50786364949033,104.90280256184363,501.88830069663703,2737.5417858482715
