n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
2792,2792.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.9,0.9,0.8,25.0,-479.03602547883503,4.435883168136524,683.5152112644187,150.21196734050164,10.0
2793,2793.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.9,0.8,35.0,-461.0372646700614,4.435883168136524,706.3873312644187,111.39564096181242,6.0
2794,2794.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.7,1.0,0.8,60.0,-264.49738318756255,20.369443467053202,540.6031312644187,668.4105627781189,8.0
2795,2795.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.9,1.0,1.0,50.0,-382.34577977601515,23.078289705525684,794.4181640805233,438.0910069961145,2.0
2796,2796.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.9,0.9,0.9,40.0,-446.09482615116684,14.9190934620702,756.6286476724712,309.082495448962,4.0
2797,2797.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.9,0.9,30.0,-483.5581965028038,4.435883168136524,744.1768476724711,91.98747777246781,4.0
2798,2798.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.9,1.0,0.9,55.0,-289.1919840053939,23.078289705525684,756.6286476724712,438.0910069961145,2.0
2799,2799.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,0.9,0.9,20.0,-470.48606722904844,4.435883168136524,680.515647672471,111.39564096181242,6.0
2800,2800.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.7,1.0,0.8,60.0,-307.2243744340927,23.078289705525684,665.2451312644187,666.3187750168108,6.0
2801,2801.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.8,0.9,0.7,55.0,-221.44773150004593,23.078289705525684,622.8535748563663,405.69329469753785,2.0
2802,2802.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.8,1.0,0.9,40.0,-459.80238101099053,4.435883168136524,698.432607672471,156.1198730509215,10.0
2803,2803.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.7,1.0,0.9,25.0,-377.8650483835867,4.435883168136524,578.3926476724711,78.48722029354303,2.0
2804,2804.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,0.9,0.9,50.0,-422.24992363806416,10.692971096789606,680.515647672471,310.20194766898373,8.0
