n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
68,68.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,50.0,-299.5076838337674,107.28334889774962,725.1551152809101,2741.1238392066134,8.0
69,69.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,-680.6356274805195,22.074667526002244,677.52351528091,381.5526777971929,4.0
70,70.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.7,0.8,1.0,25.0,-449.42988623990726,31.598753349155245,547.7390922247281,303.4237271508813,2.0
71,71.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,1.0,0.9,1.0,50.0,-279.5476694452789,107.28334889774962,560.1646037528191,2149.82971560876,6.0
72,72.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.7,0.7,1.0,30.0,-593.0476680726931,22.074667526002244,474.266460696637,836.9179696662056,10.0
73,73.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.7,0.9,1.0,20.0,-704.522208380005,22.074667526002244,587.869603752819,533.3411084201972,6.0
74,74.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.7,1.0,0.9,40.0,-227.33908911682718,107.28334889774962,628.00011528091,1520.9408575293871,4.0
75,75.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,0.8,0.7,1.0,20.0,-452.88201088398387,22.074667526002244,440.10558069663705,381.5526777971929,4.0
76,76.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.8,0.7,1.0,25.0,-109.32462217312136,107.28334889774962,440.10558069663705,967.2414684130537,2.0
77,77.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.9,0.9,45.0,-148.97660530578403,107.28334889774962,637.393003752819,1520.9408575293871,4.0
78,78.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.9,1.0,25.0,-187.31923231468292,107.28334889774962,560.1646037528191,967.2414684130537,2.0
79,79.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.7,0.8,0.9,50.0,-571.0681871238658,22.074667526002244,514.3969722247281,829.1203880110872,10.0
80,80.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.9,1.0,60.0,-8.296889550643048,107.28334889774962,637.393003752819,2741.1238392066134,8.0
81,81.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.9,0.7,1.0,45.0,-248.4530190897857,105.70624730605883,460.0045806966371,2693.017854688147,8.0
82,82.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.7,0.8,1.0,20.0,-673.986772782921,22.074667526002244,547.7390922247281,685.1295390432012,8.0
83,83.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.8,0.9,1.0,60.0,103.59384323941494,107.28334889774962,620.254603752819,1558.5355920109073,4.0
84,84.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.9,0.7,0.9,30.0,-345.44636197501944,107.28334889774962,572.3785806966371,929.6467339315336,2.0
85,85.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.9,30.0,-805.0640980820376,22.074667526002244,600.2951152809101,829.1203880110872,10.0
86,86.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,0.9,1.0,1.0,40.0,-646.5011153123825,33.184838635401654,692.7701152809101,924.6579782630813,8.0
87,87.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,0.9,0.7,1.0,40.0,-432.0910390607239,35.81678009697127,460.0045806966371,769.1420318375893,6.0
88,88.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.9,0.8,1.0,50.0,-132.61601077992083,107.28334889774962,569.6406522247281,1558.5355920109073,4.0
89,89.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.9,0.9,25.0,-586.9227701180932,29.9653759530836,685.0246037528191,467.8473735589187,4.0
90,90.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,1.0,20.0,-868.0354568437197,22.074667526002244,685.0246037528191,685.1295390432012,8.0
91,91.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.8,1.0,1.0,30.0,-763.8220420118411,22.074667526002244,660.3851152809101,685.1295390432012,8.0
92,92.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,0.8,1.0,0.9,45.0,-163.54476979995025,107.28334889774962,660.3851152809101,1520.9408575293871,4.0
93,93.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.9,0.9,0.9,60.0,159.54448893612567,107.28334889774962,609.7711637528191,929.6467339315336,2.0
94,94.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.8,1.0,45.0,-89.86489225524761,107.28334889774962,597.2624922247281,967.2414684130537,2.0
95,95.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,0.7,0.9,55.0,67.64074099983662,107.28334889774962,572.3785806966371,2703.5291047250935,8.0
96,96.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.7,1.0,0.9,35.0,-692.4086582939116,22.074667526002244,628.00011528091,677.3319573880829,8.0
97,97.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9,0.9,0.9,50.0,48.992140877315165,107.28334889774962,652.6396037528191,1520.9408575293871,4.0
98,98.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,0.9,0.9,0.9,35.0,-627.2489943496536,22.074667526002244,540.2656037528191,677.3319573880829,8.0
99,99.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.7,0.7,1.0,25.0,-577.7562523116716,22.074667526002244,474.266460696637,533.3411084201972,6.0
100,100.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.9,0.9,0.9,50.0,122.20375213441841,107.28334889774962,540.2656037528191,1520.9408575293871,4.0
101,101.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.8,0.7,0.9,30.0,-470.8725515210774,29.40342607886987,440.10558069663705,831.0822569918131,8.0
102,102.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9,30.0,-898.5429588155941,22.074667526002244,725.1551152809101,829.1203880110872,10.0
103,103.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9,0.8,0.9,25.0,-639.2692515238924,22.074667526002244,612.5090922247281,525.5435267650787,6.0
104,104.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.9,0.7,1.0,50.0,-134.86277981513464,107.28334889774962,572.3785806966371,1558.5355920109073,4.0
105,105.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.8,0.9,0.9,25.0,-664.823550357436,22.074667526002244,620.254603752819,677.3319573880829,8.0
106,106.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.7,0.7,1.0,20.0,-377.38020692427705,22.074667526002244,420.20658069663705,229.76424717418868,2.0
107,107.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.9,55.0,-227.3061604520407,107.28334889774962,580.1240922247281,3294.823228322946,10.0
108,108.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.8,0.9,1.0,55.0,-203.2007648831958,107.28334889774962,582.149323752819,2149.82971560876,6.0
109,109.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.9,0.7,1.0,25.0,-289.47955480797157,107.28334889774962,460.0045806966371,967.0939422463871,2.0
110,110.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8,0.7,1.0,35.0,-85.61029517106316,107.28334889774962,539.9935806966371,967.2414684130537,2.0
111,111.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.9,0.9,1.0,50.0,-202.1918688984534,107.28334889774962,609.7711637528191,2149.82971560876,6.0
112,112.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.7,1.0,0.9,50.0,-182.8911463564528,107.28334889774962,594.65799528091,2112.23498112724,6.0
113,113.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.7,0.7,1.0,30.0,-309.01464615830434,107.28334889774962,507.60858069663703,967.2414684130537,2.0
114,114.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.8,1.0,40.0,-122.85704944980445,107.28334889774962,520.034092224728,967.2414684130537,2.0
115,115.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.7,1.0,35.0,-250.5890727614341,107.28334889774962,557.1319806966371,2149.82971560876,6.0
116,116.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,0.7,1.0,55.0,344.5350489692932,107.28334889774962,572.3785806966371,1558.5355920109073,4.0
117,117.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.9,0.9,1.0,30.0,-725.7563450493859,22.074667526002244,652.6396037528191,836.9179696662056,10.0
118,118.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.9,0.7,0.9,60.0,-272.06337354104727,106.10900631115182,529.5101406966371,3251.596814106599,10.0
119,119.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.8,0.8,0.9,35.0,-102.79850363140928,107.28334889774962,580.1240922247281,929.6467339315336,2.0
120,120.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.8,0.7,1.0,30.0,-140.30378174711117,107.28334889774962,440.10558069663705,1558.5355920109073,4.0
