n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
1834,1834.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,1.0,50.0,-1075.6875137897207,130.58794234320223,3391.9275405446633,2073.835755517876,2.0
1835,1835.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.9,0.9,0.9,55.0,-572.2969917596425,130.58794234320223,2819.6035478054364,3510.0077990509953,6.0
1836,1836.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.8,1.0,0.9,30.0,-2147.1270767804813,41.50495899604326,3687.232473223372,828.8116260759891,8.0
1837,1837.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.7,1.0,1.0,35.0,-1928.9997341515962,41.50495899604326,3208.0718276844,1005.6107053696289,10.0
1838,1838.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9,25.0,-2274.1160731130562,41.50495899604326,3596.313442205946,828.8116260759891,8.0
1839,1839.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,1.0,1.0,30.0,-2175.7163353570013,41.50495899604326,3518.0799405446633,1005.6107053696289,10.0
1840,1840.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.8,1.0,0.9,25.0,-2101.6366949124636,41.50495899604326,3390.540895005691,981.2876435893429,10.0
1841,1841.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.7,1.0,0.9,20.0,-2092.6825436379804,41.50495899604326,3578.003434945173,523.8595910492817,4.0
1842,1842.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,1.0,0.9,45.0,-1392.4207742924543,63.93268598001005,2948.011540544663,1167.9792324953817,6.0
1843,1843.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,1.0,1.0,40.0,-1926.330954934856,52.38197966632623,3541.383420423627,1126.8207313890969,8.0
1844,1844.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.8,1.0,25.0,-1646.7863869188336,41.50495899604326,2326.257420423627,1005.6107053696289,10.0
1845,1845.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.8,0.8,1.0,30.0,-1664.873165458106,41.50495899604326,2527.036495005691,1005.6107053696289,10.0
1846,1846.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.9,0.7,1.0,45.0,-776.3564203405183,111.1019126142698,2471.2375260231174,2218.943675795714,4.0
1847,1847.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.7,0.8,1.0,25.0,-1830.0529211695439,41.50495899604326,2800.6221476844,1005.6107053696289,10.0
1848,1848.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.7,1.0,0.9,25.0,-2137.258204718608,41.50495899604326,3578.003434945173,523.8595910492817,4.0
1849,1849.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.9,0.8,0.9,45.0,-1296.8590269479882,90.2139868922699,3092.3202532838905,1536.9281626984762,4.0
1850,1850.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,1.0,0.9,0.9,20.0,-2357.3580025692236,41.50495899604326,3740.043578822863,981.2876435893429,10.0
1851,1851.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,1.0,0.9,20.0,-1938.7309898612527,41.50495899604326,3189.7618204236273,676.3356085626353,6.0
1852,1852.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.8,0.9,50.0,-1390.6855246078537,76.26200830265213,3118.5394422059458,1522.1796894427248,6.0
1853,1853.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.9,0.9,1.0,45.0,-1167.5441454353727,130.58794234320223,3594.1945260231178,2073.835755517876,2.0
1854,1854.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.7,0.9,20.0,-2037.5894730742107,41.50495899604326,3153.0405405446627,981.2876435893429,10.0
1855,1855.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.7,0.7,0.9,60.0,28.118196319723992,130.58794234320223,2596.8973076844,1944.7167332558456,2.0
1856,1856.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,45.0,-1838.7591500514573,73.34474891161356,4033.8606006051814,1756.6170427593443,8.0
1857,1857.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.7,1.0,1.0,45.0,-1464.094211796008,73.34474891161356,3208.0718276844,1483.7807439501476,6.0
1858,1858.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,1.0,0.8,1.0,50.0,-780.9283766198201,130.58794234320223,3256.479313344408,2856.4812884154503,4.0
1859,1859.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,0.8,0.9,20.0,-1684.9246212819944,58.508503492874055,3063.6094204236274,565.505141099451,2.0
1860,1860.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.7,1.0,30.0,-1720.7283821294889,41.50495899604326,2988.881480484145,700.6586703429214,6.0
1861,1861.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,0.7,0.9,60.0,-546.5289769376591,130.58794234320223,3116.420526023117,1944.7167332558456,2.0
1862,1862.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.7,0.8,1.0,25.0,-1355.9360327804795,41.50495899604326,2344.5674276844,700.6586703429214,6.0
1863,1863.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.9,0.7,1.0,55.0,-862.5368743233308,104.23114909645169,2925.215427805436,3124.9902292881457,8.0
1864,1864.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,1.0,0.8,1.0,40.0,-1768.4353483766656,41.50495899604326,3219.859298822863,1005.6107053696289,10.0
1865,1865.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.7,0.9,45.0,-554.1015715727692,130.58794234320223,2179.539420423627,1944.7167332558456,2.0
1866,1866.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,1.0,0.9,1.0,20.0,-2324.7652797660758,41.50495899604326,3460.204153344408,1005.6107053696289,10.0
1867,1867.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45.0,-2030.0044280998795,63.93268598001005,4033.8606006051814,1209.7375804277608,6.0
1868,1868.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.8,0.9,0.9,45.0,-1511.3968128624178,63.93268598001005,3150.196040484145,1432.0305995300369,8.0
1869,1869.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.7,0.9,1.0,60.0,-566.23864356192,130.58794234320223,3022.6569949451728,2856.4812884154503,4.0
1870,1870.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.8,1.0,20.0,-2059.628200726601,41.50495899604326,2946.471200484145,1005.6107053696289,10.0
1871,1871.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,40.0,-1597.0289234837442,111.1019126142698,3630.8145405446635,1604.9678989844995,2.0
1872,1872.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,40.0,-1899.3661119842245,68.90193226572049,3742.1624950056907,1055.2676528732402,4.0
1873,1873.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.7,0.9,0.9,45.0,-996.9168069927995,77.404691278589,2491.2854276844,1558.1381383897024,6.0
1874,1874.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.7,0.9,45.0,-1073.228280535564,119.96669715945328,3007.1914877449176,2388.983354735951,4.0
1875,1875.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.7,1.0,50.0,-1362.9419738554527,66.12130743186812,3171.350547805436,1826.3643241059954,10.0
1876,1876.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.7,0.8,0.9,35.0,-1643.5885409651733,52.38197966632623,3100.2294349451727,1094.79818477766,8.0
1877,1877.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.7,0.9,35.0,-1524.3883051653845,52.38197966632623,2843.0324276844,893.1493684589781,6.0
1878,1878.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,1.0,0.7,1.0,25.0,-1576.6457647778454,41.50495899604326,2635.3965860836356,700.6586703429214,6.0
1879,1879.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.9,0.9,0.9,25.0,-1910.3728902761736,41.50495899604326,3296.0450932838903,676.3356085626353,6.0
1880,1880.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.8,0.7,0.9,60.0,-736.5364649453145,95.87431963506812,2724.4363532233724,3163.77599955805,10.0
1881,1881.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.7,0.9,1.0,40.0,-1481.0535336149107,63.93268598001005,3022.6569949451728,1209.7375804277608,6.0
1882,1882.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,1.0,50.0,-1683.0043579626908,68.90193226572049,3649.1245478054366,1645.1552771195327,8.0
1883,1883.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.7,1.0,60.0,-1242.1257844663503,74.54606869299404,3262.269578822862,2185.8566287098256,10.0
1884,1884.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,1.0,0.9,1.0,35.0,-1476.5508863429955,55.9689905132828,2910.522578822862,1007.6420782702634,6.0
1885,1885.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,1.0,0.8,0.9,35.0,-1792.3516653920929,41.50495899604326,3238.1693060836355,828.8116260759891,8.0
1886,1886.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.8,1.0,1.0,35.0,-1837.4725162714394,52.38197966632623,3372.230887744918,925.1719150704149,6.0
1887,1887.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,1.0,0.8,1.0,50.0,-551.5301465751024,130.58794234320223,3219.859298822863,2073.835755517876,2.0
1888,1888.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.7,0.7,1.0,30.0,-1338.6160701868748,41.50495899604326,2216.1594349451725,1005.6107053696289,10.0
1889,1889.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.9,0.9,0.9,30.0,-1333.9991193397134,70.24022911054423,2819.6035478054364,1038.2681520253648,4.0
1890,1890.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.8,0.9,0.9,30.0,-1335.501626029444,119.96669715945328,3168.506047744918,1699.268152240132,2.0
1891,1891.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,1.0,0.9,25.0,-2044.5220437931455,68.90193226572049,3869.7015405446637,713.7858378873991,2.0
1892,1892.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.9,0.8,1.0,35.0,-1648.120974631837,52.38197966632623,3092.3202532838905,925.1719150704149,6.0
1893,1893.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.8,0.8,0.9,45.0,-1415.7803539890974,75.70171885222204,3209.4584732233725,1504.654381282633,6.0
1894,1894.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.8,0.9,1.0,50.0,-1237.4791293295002,90.2139868922699,3168.506047744918,2056.043416929866,6.0
1895,1895.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,1.0,0.8,1.0,40.0,-1870.815458332745,41.50495899604326,3256.479313344408,1005.6107053696289,10.0
1896,1896.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,1.0,0.8,0.9,30.0,-1418.5801172101496,52.38197966632623,2782.1145860836355,893.1493684589781,6.0
1897,1897.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.9,1.0,45.0,-790.0679801513353,130.58794234320223,2965.452600605181,2073.835755517876,2.0
1898,1898.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.8,0.7,1.0,20.0,-1403.6344787293197,41.50495899604326,2362.008487744918,395.70663531621386,2.0
1899,1899.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.9,30.0,-2258.0841546627667,41.50495899604326,3705.542480484145,828.8116260759891,8.0
1900,1900.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,50.0,-1590.9677846800896,58.508503492874055,3317.199600605181,1534.7018999171742,10.0
1901,1901.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,1.0,1.0,40.0,-2224.003180672551,41.50495899604326,3833.081526023118,1005.6107053696289,10.0
1902,1902.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.7,0.7,0.9,50.0,-256.270664504816,130.58794234320223,2197.8494276843994,2727.3622661534205,4.0
1903,1903.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.7,1.0,50.0,-1584.5246487126028,58.508503492874055,3280.579586083635,1301.6371659668869,8.0
1904,1904.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.9,45.0,-1769.812366820393,52.38197966632623,3391.9275405446633,1094.79818477766,8.0
1905,1905.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.7,0.9,20.0,-1851.469076051527,41.50495899604326,2672.0166006051813,981.2876435893429,10.0
1906,1906.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,1.0,1.0,25.0,-2010.5132192455599,41.50495899604326,3536.3899478054363,395.70663531621386,2.0
1907,1907.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.7,0.9,0.9,30.0,-1674.0099511048295,70.24022911054423,3339.116434945173,1038.2681520253648,4.0
