n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
129,129.0,1.0,1.0,1.0,1.0,0.9,2.0,1.0,0.7,0.9,0.8,60.0,-317.46353269396985,18.929612245231564,637.7709712644187,648.4288600097419
130,130.0,1.0,1.0,1.0,1.0,0.4,3.0,1.0,0.7,0.9,0.7,50.0,-216.4459155463093,23.078289705525684,502.8136148563663,535.1728817788191
131,131.0,1.0,1.0,1.0,1.0,0.1,2.0,2.0,1.0,1.0,0.8,60.0,-198.4235838249524,23.078289705525684,706.3873312644187,384.8754907586737
132,132.0,1.0,1.0,1.0,1.0,0.2,1.0,2.0,0.9,1.0,0.9,30.0,-440.22973369480695,16.098655575530614,756.6286476724712,285.71199975200943
133,133.0,1.0,1.0,1.0,1.0,0.1,1.0,2.0,0.7,1.0,1.0,30.0,-412.143322471324,22.29896888868372,740.8241640805232,368.54435855765735
134,134.0,1.0,1.0,1.0,1.0,0.2,2.0,1.0,1.0,1.0,1.0,40.0,-428.7868825307639,22.29896888868372,781.9663640805235,426.67261163870904
135,135.0,1.0,1.0,1.0,1.0,0.6,3.0,1.0,0.8,1.0,0.9,30.0,-405.2408949899213,4.435883168136524,612.4336476724711,113.87176835930065
136,136.0,1.0,1.0,1.0,1.0,0.9,3.0,2.0,0.9,0.9,0.7,40.0,-352.18131956003094,9.252881896266334,570.8956148563664,280.8164100141726
137,137.0,1.0,1.0,1.0,1.0,0.6,1.0,2.0,0.8,1.0,0.8,50.0,-334.8451716728813,23.078289705525684,692.0421312644187,689.3673296232106
138,138.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.9,0.9,0.7,40.0,-384.3721188918429,12.063173059093632,645.7256948563663,269.1333518796973
139,139.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,0.9,1.0,0.8,40.0,-379.0653311758879,17.228584059626538,683.5152112644187,433.2829670103884
140,140.0,1.0,1.0,1.0,1.0,0.5,3.0,2.0,0.8,0.9,1.0,30.0,-405.8768286088872,4.971077571091431,650.2231640805235,110.2310108907268
141,141.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.9,0.7,30.0,-438.881495607581,8.126778234860332,707.8466148563664,126.91008934212722
