,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
369,369.0,1.0,1.0,1.0,0.5,2.0,1.0,0.8,0.8,0.7,0.9,40.0,-1216.9882626583317,73.94929829919676,2742.746360484145,1257.6068948362793
370,370.0,1.0,1.0,1.0,0.7,2.0,1.0,1.0,1.0,1.0,0.9,50.0,-1550.073199610589,77.404691278589,3682.2390006051814,1692.920028975131
371,371.0,1.0,1.0,1.0,0.2,2.0,1.0,0.8,0.8,1.0,1.0,50.0,-873.0277920468418,130.58794234320223,3353.920880484145,2122.6627348416546
372,372.0,1.0,1.0,1.0,0.7,3.0,2.0,1.0,1.0,0.8,1.0,40.0,-1221.0897309481466,68.90193226572049,2818.734600605181,1460.1174772316795
373,373.0,1.0,1.0,1.0,0.1,2.0,2.0,0.8,0.8,0.8,0.9,50.0,-339.2783001468365,130.58794234320223,2946.471200484145,1577.807456468948
374,374.0,1.0,1.0,1.0,0.9,3.0,1.0,0.8,0.8,0.9,0.9,60.0,-790.5661967879024,77.404691278589,2637.1344804841456,2033.36230666152
375,375.0,1.0,1.0,1.0,0.2,1.0,1.0,0.9,0.9,0.9,0.9,40.0,-1398.5465876253152,130.58794234320223,3630.8145405446635,1993.5437125796243
376,376.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,0.8,0.8,0.9,60.0,-777.0562849630253,77.404691278589,2490.4164804841457,2203.5834455047147
377,377.0,1.0,1.0,1.0,0.1,2.0,2.0,0.8,0.8,1.0,0.9,30.0,-1322.3307730369406,130.58794234320223,3353.920880484145,1577.807456468948
378,378.0,1.0,1.0,1.0,0.9,1.0,1.0,0.7,0.7,0.9,1.0,50.0,-1545.9078462636564,63.93268598001005,3302.496420423627,1560.5723532661873
379,379.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,0.8,0.8,0.9,30.0,-1553.6694887258896,41.50495899604326,2490.4164804841457,940.3944270595016
380,380.0,1.0,1.0,1.0,0.5,3.0,1.0,0.7,0.7,0.7,1.0,60.0,-244.38930623583184,130.58794234320223,2179.539420423627,3369.8715031736847
381,381.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,0.9,1.0,60.0,-1272.6943710129192,75.70171885222204,3314.3551005446634,2178.817846762874
382,382.0,1.0,1.0,1.0,0.9,1.0,2.0,0.7,0.7,0.7,0.9,30.0,-1615.3620314890904,41.50495899604326,2824.7224204236268,868.2457399558089
383,383.0,1.0,1.0,1.0,0.5,1.0,1.0,0.8,0.8,1.0,0.9,40.0,-1783.72252426133,73.94929829919676,3705.542480484145,1257.6068948362793
384,384.0,1.0,1.0,1.0,0.7,2.0,1.0,1.0,1.0,0.8,1.0,40.0,-1649.937283221854,57.70311697755309,3274.7893206051813,1129.7622063257222
385,385.0,1.0,1.0,1.0,0.8,3.0,2.0,0.9,0.9,1.0,1.0,40.0,-1375.454098877011,63.20979733698361,2948.011540544663,1409.4329927834892
386,386.0,1.0,1.0,1.0,0.3,1.0,2.0,0.7,0.7,0.7,0.9,50.0,-484.8571837427004,130.58794234320223,2824.7224204236268,2409.279968690301
387,387.0,1.0,1.0,1.0,0.2,1.0,1.0,0.8,0.8,0.7,1.0,40.0,-1078.5673601659937,123.94374175228508,2988.881480484145,1947.5441153347854
388,388.0,1.0,1.0,1.0,0.9,2.0,1.0,0.8,0.8,1.0,0.9,60.0,-1210.526603820839,77.404691278589,3353.920880484145,2033.36230666152
389,389.0,1.0,1.0,1.0,0.5,3.0,2.0,0.8,0.8,0.9,0.9,60.0,-246.5299731698224,130.58794234320223,2637.1344804841456,3240.752480911655
390,390.0,1.0,1.0,1.0,0.4,2.0,2.0,0.8,0.8,0.8,1.0,30.0,-1438.737312010865,68.90193226572049,2946.471200484145,1033.8014278296514
391,391.0,1.0,1.0,1.0,0.4,2.0,2.0,0.8,0.8,0.7,0.9,30.0,-1288.8593102334332,70.85427533892505,2742.746360484145,1030.0685123133937
392,392.0,1.0,1.0,1.0,0.6,2.0,1.0,0.7,0.7,1.0,0.9,50.0,-1231.776625940353,83.79852469307862,3189.7618204236273,1746.7476930699306
393,393.0,1.0,1.0,1.0,0.2,2.0,2.0,0.8,0.8,0.7,1.0,40.0,-701.5134790365278,130.58794234320223,2742.746360484145,2122.6627348416546
394,394.0,1.0,1.0,1.0,0.8,2.0,1.0,1.0,1.0,0.8,0.9,50.0,-1386.7486250830866,73.34474891161356,3274.7893206051813,1710.446611633813
395,395.0,1.0,1.0,1.0,0.1,2.0,2.0,0.8,0.8,0.8,0.9,30.0,-1081.3886916210554,130.58794234320223,2946.471200484145,1577.807456468948
396,396.0,1.0,1.0,1.0,0.1,3.0,1.0,0.7,0.7,1.0,0.9,30.0,-1158.9327093253244,106.29108532121222,2619.6934204236272,1126.7985397265982
397,397.0,1.0,1.0,1.0,0.7,1.0,2.0,1.0,1.0,0.8,1.0,50.0,-1315.0718580219414,82.74649910419797,3556.0866006051815,1963.00204051517
398,398.0,1.0,1.0,1.0,0.6,1.0,2.0,0.9,0.9,0.7,0.9,60.0,-588.4597053287445,130.58794234320223,3153.0405405446627,3656.4887370223314
399,399.0,1.0,1.0,1.0,0.3,2.0,1.0,0.8,0.8,0.8,0.9,30.0,-1518.7395635767252,63.93268598001005,2946.471200484145,756.8214227055457
