n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
79,79.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.7,1.0,0.8,1.0,20.0,-1248.4945876407014,56.00568523776178,1222.8631475745144,1153.7997197168813
80,80.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.8,0.9,0.7,0.9,30.0,-841.162340383731,97.7210875047205,1168.7609641277006,2093.840823790098
81,81.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.6,0.7,0.8,0.9,35.0,-345.9807536320387,190.19516550018875,1106.4252275745146,3348.44302777751
82,82.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.9,1.0,0.9,55.0,-53.60785957356103,190.19516550018875,1452.260434468143,3348.44302777751
83,83.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.8,1.0,0.7,1.0,20.0,-1112.0927663265215,56.00568523776178,1145.6240041277003,1288.8781921645602
84,84.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,1.0,0.7,0.9,25.0,-1010.7406104162856,73.23409252298197,1296.0840041277004,1418.1015456222422
85,85.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.8,0.7,1.0,55.0,-43.4619157665298,190.19516550018875,1145.0020041277005,5204.37545577627
86,86.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.4,1.0,0.9,0.9,25.0,-587.6236218421568,190.19516550018875,1116.584603752819,2458.11310616342
87,87.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.9,0.9,0.8,0.9,55.0,156.35302276357802,190.19516550018875,949.1310522247281,4683.937910198643
88,88.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7,0.9,0.9,30.0,-814.4795266821809,116.63605138586409,1223.939291021329,1712.7727904674457
89,89.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,0.8,0.9,20.0,-1065.755772579927,56.00568523776178,1373.3231475745145,592.6607886678523
90,90.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.9,1.0,0.9,1.0,60.0,93.80726642219861,190.19516550018875,966.124603752819,4759.210494969224
91,91.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,1.0,0.7,1.0,35.0,-1021.9332484561118,56.00568523776178,1238.5484041277002,1423.9566646122394
92,92.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.1,0.9,0.9,1.0,45.0,281.463438503345,190.19516550018875,989.261563752819,1197.8908085128685
93,93.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.8,0.7,0.9,0.9,55.0,-38.00907939491621,190.19516550018875,1118.617291021329,4238.772949391597
94,94.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,40.0,-996.1759337865404,110.97419287326649,1452.260434468143,2674.793976041782
95,95.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.8,0.7,0.7,1.0,25.0,-915.5242032441691,56.00568523776178,769.425660696637,1288.8781921645602
96,96.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.2,0.8,0.9,1.0,35.0,-24.675973303165787,190.19516550018875,1179.1122910213292,1643.0557693199135
97,97.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.2,0.8,0.7,1.0,55.0,725.8443216739253,190.19516550018875,1098.9735241277006,1643.0557693199135
