n,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex
514,514,-102499.913,0.9,0.7,0.7,30,1.0,2,1,0,0,1,1,1,0,1,1,0,52.580943558932546,31.01868586363868,29.96200349629473,758.876360025108,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.2103,13.9362,29083.958586248787,435.681923688,1072.2644225
515,515,-230824.0721,0.8,0.9,1.0,20,1.0,2,1,0,0,1,1,1,0,1,1,0,51.97062548685034,30.093222877023944,30.373215062605475,794.0699045282888,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.6138,16.6291,26227.87555950431,467.9930428729,1089.8431324
516,516,90064.0124,0.9,0.7,0.4,60,0.9,2,1,0,0,1,1,1,0,1,1,0,46.55854111024426,27.55604814053854,26.343473157642283,764.4195436005718,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.662464139156376,13.6206,13.8323,29215.369088693675,434.4097073718,906.5111932
517,517,46958.9443,0.7,0.7,0.7,50,0.9,2,1,0,0,1,1,1,0,1,1,0,46.604940796095995,25.726777330063804,27.184391954253584,650.4405181497402,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4616596917430181,10.4247,13.512,25512.265851057524,372.4103879697,887.4754983
518,518,-500272.8042,0.8,0.7,0.5,20,1.0,2,1,0,0,1,1,1,0,1,1,0,78.04618481390196,60.618619142892854,34.50366836366672,1045.1456775649924,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,8.3589,22.6133,46804.423696658385,1114.9029242786,1451.8505175
519,519,-194042.0567,0.7,1.0,0.5,30,0.9,2,1,0,0,1,1,1,0,1,1,0,56.52982643478725,37.790764292550264,33.55455311181221,1133.1444873170756,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0918,18.3607,33630.54160725284,666.311171764,978.8634776
520,520,-450529.3469,1.0,1.0,0.1,20,1.0,2,1,0,0,1,1,1,0,1,1,0,76.14655961290748,57.916257999771716,30.231154645845734,844.4990490648701,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.1193,20.57,49193.75599998356,1057.7866340794,1269.0870842
521,521,-75698.7082,1.0,0.7,0.1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,82.35959508688066,62.99571531720371,27.648212493140782,675.0238142488186,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.8508,16.093,63330.62726354276,1054.2465830852,1218.045794
522,522,-177746.0005,0.8,0.9,0.3,35,0.9,2,1,0,0,1,1,1,0,1,1,0,65.27687403731437,45.55849301700657,26.43098529562324,685.6690823795652,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.772,19.4519,42590.83924513656,864.3014066125,1120.2872289
523,523,-230275.2221,0.8,0.8,0.2,40,1.0,2,1,0,0,1,1,1,0,1,1,0,69.16748792933308,54.835139160738606,30.911126028822213,842.0531970898927,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.8508,21.0984,51344.57157629971,1135.7613275279,1302.0801739
524,524,-48042.8967,0.7,0.8,0.5,45,1.0,2,1,0,0,1,1,1,0,1,1,0,50.2701872047113,30.86543067631016,29.43644599729036,825.6974388262154,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.4036,17.9756,28243.102110225223,545.5622513892,1084.5118203
525,525,-227106.9608,1.0,0.8,0.8,45,0.9,2,1,0,0,1,1,1,0,1,1,0,70.01056995052251,53.10071589933044,30.79120740221609,896.8303903629673,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.7821,25.6445,46053.27025108847,1237.8035137799,1357.2431727
526,526,88431.5908,0.7,1.0,0.5,60,1.0,2,1,0,0,1,1,1,0,1,1,0,73.93764521503236,55.217224231058346,29.869227681424604,735.6378449154055,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.43427814369882584,13.411,17.4479,55224.12205587693,1005.64811726,1448.7577487
527,527,-23097.3334,0.7,1.0,0.6,40,1.0,2,1,0,0,1,1,1,0,1,1,0,39.53674220229732,20.810012651610677,21.94141461365567,592.1313048314108,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004211806528062491,9.2011,16.28,18626.333990964147,326.0616221706,1048.3364259
528,528,-152684.4218,1.0,0.8,0.6,40,0.9,2,1,0,0,1,1,1,0,1,1,0,83.33210467715082,63.06862583948987,28.02900932283614,674.3140051290219,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.6409,19.7006,58814.080089557654,1198.7937743775,1327.2756747
529,529,-180458.4182,1.0,0.8,0.4,50,0.9,2,1,0,0,1,1,1,0,1,1,0,94.09695352131567,71.93968267108843,38.84188280994896,1065.5773526759042,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,10.972,21.2306,74476.95720502108,1661.3980146362,1339.6882198
530,530,41631.0679,1.0,0.9,0.7,60,0.9,2,1,0,0,1,1,1,0,1,1,0,78.55531555666823,60.16045212454428,32.756934682059445,880.7263783821295,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.30610018853181553,14.2307,18.3526,61915.1977758299,1190.1154810222,1389.0225455
531,531,-17642.484,1.0,0.9,0.2,60,1.0,2,1,0,0,1,1,1,0,1,1,0,69.6093902248296,52.36498144782075,33.297595421689834,1021.9815900182418,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.16285025634888184,12.0304,20.8572,52300.75145339361,1154.2066261835,1267.4410135
532,532,-395205.2605,0.9,0.8,0.6,25,1.0,2,1,0,0,1,1,1,0,1,1,0,93.3868692504692,69.96375641418018,34.051886274123525,769.504734445442,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.5805,19.17,63424.49257334066,1266.8490360548,1473.960502
533,533,-69847.3833,0.9,0.8,0.1,55,1.0,2,1,0,0,1,1,1,0,1,1,0,79.27984585073227,57.9687012162462,32.56151702821169,877.5859987634464,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.05544640214704374,9.6636,22.2372,57794.38284794577,1342.1761029418,1271.3665124
534,534,-261336.2829,0.9,0.7,0.8,25,1.0,2,1,0,0,1,1,1,0,1,1,0,53.46624781214568,37.9621474795083,32.36610856094333,970.6915308529765,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.4082,19.089,31028.979422684148,637.1038612554,1125.8921083
535,535,-57302.7899,0.8,0.7,0.1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,87.80196968821895,70.05087896766011,35.55407060685138,1070.9397565602283,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.11440777442980171,11.856,21.6835,72919.00563711068,1657.9717800981,1370.4759661
536,536,-325728.0734,1.0,0.8,0.4,40,0.9,2,1,0,0,1,1,1,0,1,1,0,84.498981457236,67.77709924998156,33.797662874360725,1053.0432543853155,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.2612,24.3347,62472.99309144842,1588.9701127709,1339.4292265
