n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
91,91.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.5,0.8,0.7,0.8,65.0,792.3428777247588,190.19516550018875,764.8735806966372,2828.0054821998824
92,92.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.6,0.9,1.0,0.9,65.0,789.9970838798072,190.19516550018875,945.76011528091,3348.44302777751
93,93.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.1,0.7,0.7,0.9,55.0,501.768685895231,190.19516550018875,1029.1860841277005,1122.6182237422863
94,94.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.4,0.7,0.9,0.7,55.0,207.17526545199186,190.19516550018875,1118.617291021329,2307.5679366222553
95,95.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.3,0.7,0.9,0.8,55.0,243.0544605663146,190.19516550018875,1183.664371021329,1937.6755605857932
96,96.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0.6,0.8,0.8,1.0,55.0,87.96440518162565,190.19516550018875,879.3436122247281,3423.7156125480915
97,97.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.2,1.0,0.9,0.8,55.0,809.1041683382597,190.19516550018875,966.124603752819,1492.5105997787484
98,98.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.8,1.0,0.8,0.9,55.0,-98.58396160941716,190.19516550018875,1222.8631475745144,4238.772949391597
99,99.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.6,1.0,1.0,0.7,55.0,-211.1252741519661,190.19516550018875,1156.7151152809101,3197.897858236344
100,100.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.3,0.9,0.9,0.8,55.0,480.9133177097665,190.19516550018875,989.261563752819,1937.6755605857932
