n,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,DAKOTA_WF_CAIPAL,DAKOTA_WF_456,DAKOTA_WF_7,DAKOTA_WF_123,DAKOTA_WF_89,D_DLLO_IAV_89,DAKOTA_IAV_123,DAKOTA_IAV_456,DAKOTA_IAV_7,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex
32,32,-97227.1614,0.30000000000000004,0.0,1.0,50,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.04308122023656324,15.9743,19.1077,72418.17280792864,1451.8311470254,1259.5157
33,33,-19829.6244,0.0,0.0,0.1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1716339396812901,9.4193,19.1235,72418.17280792864,1453.0284339939,1010.7895
34,34,-35638.1839,0.19999999999999996,0.19999999999999996,0.2,60,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.13481726286768023,10.8137,19.6002,70599.37952535566,1450.5147677775,1233.9509
35,35,-51446.3565,0.09999999999999998,0.30000000000000004,0.5,50,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.11623186951864692,12.3326,19.0844,72418.17280792864,1450.0561793583,1121.3345
36,36,-36344.6696,0.0,0.09999999999999998,0.2,50,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.13357292893809236,10.8137,19.6226,70599.37952535566,1452.1707499189,1233.9509
37,37,-35291.4813,0.19999999999999996,0.30000000000000004,0.2,40,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.13543139543130397,10.8137,19.5886,70599.37952535566,1449.6570837025,1233.9509
38,38,-97069.0571,0.0,0.0,1.0,60,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.017180807918912577,13.7501,21.8742,63449.96707092519,1453.0284339939,1455.0408
39,39,-18423.5016,0.19999999999999996,0.30000000000000004,0.1,50,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1741888322987544,9.4193,19.0791,72418.17280792864,1449.6570837025,1010.7895
40,40,-71191.1506,0.19999999999999996,0.0,0.6,50,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0760377885976862,13.8048,19.6234,70599.37952535566,1452.2301359275,1344.4958
41,41,-61503.109,0.0,0.30000000000000004,0.5,40,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.09158882092234777,13.057,19.5994,70599.37952535566,1450.4553817689,1316.8596
