n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
122,122.0,1.0,0.0,1.0,2.0,0.9,1.0,2.0,0.9,0.8,0.9,55.0,-212.66501299655644,11.963835853492505,412.50919244744244,282.8286766024744
123,123.0,1.0,0.0,1.0,2.0,0.3,3.0,1.0,0.7,0.9,0.8,55.0,-109.21874499619686,11.963835853492505,267.84083773106,186.57069429859263
124,124.0,1.0,0.0,1.0,2.0,0.7,3.0,2.0,0.8,0.8,0.7,45.0,-137.7852992075775,11.963835853492505,265.3094830146775,245.88507888199968
125,125.0,1.0,0.0,1.0,2.0,0.1,3.0,1.0,0.7,0.7,0.7,65.0,-55.37084470678043,11.963835853492505,248.80348301467743,120.4814748630333
126,126.0,1.0,0.0,1.0,2.0,0.3,2.0,1.0,1.0,0.8,0.7,55.0,-162.91079734380762,11.963835853492505,361.98268301467743,171.9978834410503
127,127.0,1.0,0.0,1.0,2.0,0.2,3.0,2.0,0.8,0.9,0.8,55.0,-96.64613814717339,11.963835853492505,284.34683773106,168.09889543835527
128,128.0,1.0,0.0,1.0,2.0,0.2,2.0,2.0,0.7,0.9,0.8,45.0,-141.3289177037046,11.963835853492505,312.40367773106,168.09889543835527
129,129.0,1.0,0.0,1.0,2.0,0.3,2.0,1.0,0.9,1.0,0.8,55.0,-125.72577401485275,11.963835853492505,358.14791773106,201.1435051561349
130,130.0,1.0,0.0,1.0,2.0,0.2,3.0,2.0,1.0,1.0,0.8,55.0,-121.5082093143874,11.963835853492505,317.35883773106,182.67170629589754
131,131.0,1.0,0.0,1.0,2.0,0.6,3.0,2.0,0.7,0.9,0.8,55.0,-64.67996435966938,11.963835853492505,267.84083773106,241.98609087930458
132,132.0,1.0,0.0,1.0,2.0,0.4,1.0,2.0,1.0,0.7,0.9,45.0,-182.44318480175724,11.963835853492505,439.3061924474424,175.89687144374537
133,133.0,1.0,0.0,1.0,2.0,0.6,1.0,1.0,1.0,1.0,0.7,55.0,-170.4473759482238,11.963835853492505,401.2314830146775,256.55890173684696
134,134.0,1.0,0.0,1.0,2.0,0.3,3.0,2.0,0.9,0.8,0.7,55.0,-96.72227704042344,11.963835853492505,281.81548301467745,171.9978834410503
135,135.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,0.8,1.0,0.7,55.0,-110.51676953925305,11.963835853492505,265.3094830146775,330.44609717779633
136,136.0,1.0,0.0,1.0,2.0,0.7,2.0,1.0,0.7,1.0,1.0,45.0,-182.20970137927688,11.963835853492505,350.47838716382495,275.03070059708426
137,137.0,1.0,0.0,1.0,2.0,0.1,1.0,2.0,0.9,0.8,0.7,55.0,-95.72204367468369,11.963835853492505,374.43448301467754,135.0542857205756
138,138.0,1.0,0.0,1.0,2.0,0.3,2.0,1.0,0.7,0.9,0.9,45.0,-175.54202035950723,11.963835853492505,331.44103244744247,186.57069429859263
139,139.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.8,0.7,0.9,45.0,-189.03752094941953,11.963835853492505,354.3131524474424,286.7276646051694
140,140.0,1.0,0.0,1.0,2.0,0.3,1.0,2.0,0.7,0.8,0.8,55.0,-132.35709762630975,11.963835853492505,339.87783773105997,171.9978834410503
141,141.0,1.0,0.0,1.0,2.0,0.9,1.0,1.0,0.9,0.8,0.7,55.0,-206.63469220570875,11.206913153645337,374.43448301467754,261.5271100514834
142,142.0,1.0,0.0,1.0,2.0,0.4,3.0,2.0,0.8,0.8,0.9,65.0,-88.40490039966019,11.963835853492505,303.3841924474425,190.46968230128763
143,143.0,1.0,0.0,1.0,2.0,0.2,1.0,1.0,0.7,1.0,0.7,55.0,-97.0631261371716,11.963835853492505,320.84048301467743,182.67170629589754
144,144.0,1.0,0.0,1.0,2.0,0.7,1.0,1.0,0.8,0.8,1.0,55.0,-168.7609776828621,11.963835853492505,404.74954716382496,245.88507888199968
145,145.0,1.0,0.0,1.0,2.0,0.1,1.0,2.0,1.0,0.8,0.8,65.0,-92.55060222361426,11.963835853492505,420.26883773106,135.0542857205756
146,146.0,1.0,0.0,1.0,2.0,0.7,1.0,1.0,0.7,0.9,1.0,65.0,-119.02342338856381,11.963835853492505,377.95254716382493,260.45788973954194
147,147.0,1.0,0.0,1.0,2.0,0.4,2.0,1.0,0.9,0.7,1.0,55.0,-184.70648502358748,11.963835853492505,396.22262716382494,175.89687144374537
148,148.0,1.0,0.0,1.0,2.0,0.9,2.0,1.0,0.8,0.8,0.9,45.0,-220.20014446802566,3.546399030018186,354.3131524474424,72.92224507228981
149,149.0,1.0,0.0,1.0,2.0,0.2,3.0,2.0,0.8,0.9,0.7,55.0,-85.15804465676952,11.963835853492505,265.3094830146775,168.09889543835527
150,150.0,1.0,0.0,1.0,2.0,0.6,3.0,1.0,0.8,0.7,0.7,55.0,-116.67581055846807,11.963835853492505,265.3094830146775,212.84046916422
