n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
860,860,169871.5243,0.96,0.91,0.6,40,0.98,774.5056606786,422760.9602244
861,861,-315094.5374,0.94,0.93,0.5,20,0.98,774.9239941952,422760.5988507
862,862,481050.7502,0.95,0.98,0.4,55,0.96,800.2095547998,422751.5023157
863,863,173209.5736,0.97,0.91,0.7,40,0.92,778.5456151474,422735.1161147
864,864,162395.1127,1.0,0.93,0.2,40,0.92,799.1637210082,422733.3092458
865,865,385603.0105,0.94,0.92,0.7,50,0.98,770.6748729681,422761.3215982
866,866,-319542.4683,0.96,0.97,0.8,20,0.92,800.0003880415,422735.4774884
867,867,-54267.9489,0.96,0.97,0.4,30,0.93,800.0003880415,422738.3995739
868,868,-324850.9551,0.94,0.97,0.4,20,1.0,791.9204791038,422768.9726381
869,869,-174828.6667,0.93,1.0,0.1,25,0.97,800.6278883165,422754.785775
870,870,590957.6528,0.97,0.93,0.3,60,0.91,787.0438576017,422729.303039
871,871,-55888.1558,0.97,0.94,0.2,30,0.96,791.2929788289,422750.7795681
872,872,-178855.1831,0.96,0.95,0.4,25,0.99,791.5021455872,422764.6050575
873,873,-319819.9647,0.95,1.0,1.0,20,0.91,808.7077972541,422731.8326554
874,874,388685.7167,0.93,0.91,0.4,50,0.99,762.3857972721,422764.6050575
875,875,-50731.3748,0.95,0.93,0.4,30,0.98,778.9639486641,422760.2374769
876,876,382367.2006,0.95,0.97,0.5,50,0.92,795.9604335727,422734.3933671
877,877,482851.2369,0.95,0.96,0.4,55,0.97,791.7113123455,422755.8698963
878,878,505164.2451,0.91,0.91,1.0,55,0.91,754.3058883344,422731.8326554
879,879,260841.3331,0.99,0.95,0.8,45,1.0,803.6220089937,422770.4181332
880,880,156871.6105,0.99,0.99,0.2,40,0.92,820.6184939023,422733.3092458
881,881,274317.3847,0.94,0.95,0.3,45,1.0,783.4222366495,422768.6112643
882,882,392643.19,0.93,0.91,0.6,50,0.95,762.3857972721,422747.8574827
883,883,-162263.5522,0.92,0.93,1.0,25,0.98,766.8440852576,422762.4057195
884,884,373819.2423,0.96,1.0,0.1,50,0.94,812.747751723,422741.6830332
885,885,484881.6821,0.94,0.99,0.7,55,0.93,800.4187215581,422739.4836952
886,886,61417.1379,0.95,0.96,1.0,35,0.94,791.7113123455,422744.9353972
887,887,52619.4281,1.0,0.91,0.8,35,0.96,790.6654785539,422752.9478108
888,888,-319916.3902,0.92,0.99,0.2,20,0.99,792.3388126205,422763.8823099
889,889,580182.3736,0.98,0.99,0.7,60,0.91,816.5785394335,422730.7485341
890,890,591865.2699,0.97,0.91,0.4,60,0.93,778.5456151474,422738.3995739
891,891,-311653.6895,0.92,0.93,1.0,20,1.0,766.8440852576,422771.1408807
892,892,-300741.5713,0.92,0.92,0.8,20,0.94,762.5949640304,422744.2126496
893,893,179179.4128,0.94,0.92,0.3,40,0.93,770.6748729681,422738.0382001
894,894,481414.3462,0.95,0.99,0.5,55,0.94,804.458676027,422743.1285283
895,895,181003.7196,0.91,0.93,0.1,40,0.98,762.8041307887,422759.1533556
896,896,-324955.9599,0.93,1.0,0.2,20,0.99,800.6278883165,422763.8823099
