n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
479,479.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.9,0.7,1.0,35.0,-572.0214567862693,29.9653759530836,572.3785806966371,982.4412089603117
480,480.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.1,0.9,0.7,1.0,40.0,150.9752988028437,107.28334889774962,460.0045806966371,685.8767165707904
481,481.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.7,1.0,0.9,0.9,25.0,-621.3632479572966,22.074667526002244,560.1646037528191,562.8847928866733
482,482.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.3,0.9,0.7,0.9,50.0,-54.03659626078098,107.28334889774962,572.3785806966371,1268.1407256004507
483,483.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.3,0.9,0.8,1.0,55.0,389.602326023952,107.28334889774962,612.5090922247281,1305.7354600819706
484,484.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.7,0.9,0.9,1.0,45.0,-421.91401089352536,87.72027939363103,652.6396037528191,2016.8409579526494
485,485.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.5,0.9,0.7,1.0,35.0,-469.46195463858896,31.598753349155245,529.5101406966371,566.7261740903512
486,486.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.5,0.9,1.0,0.9,50.0,-173.58686650735282,107.28334889774962,692.7701152809101,1887.9994691116308
487,487.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.9,0.9,0.7,0.9,50.0,-46.99869086164294,107.28334889774962,460.0045806966371,3127.7169561339915
488,488.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.1,1.0,1.0,0.9,30.0,-321.704074185007,107.28334889774962,677.52351528091,648.2819820892704
489,489.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.2,0.9,1.0,0.9,25.0,-511.1729274323058,36.84880179503782,649.90167528091,321.61322787684674
490,490.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.7,0.9,0.7,0.9,30.0,-572.8481717246848,22.074667526002244,572.3785806966371,562.8847928866733
491,491.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.5,0.9,0.8,0.9,30.0,-487.3938534404022,22.074667526002244,500.1350922247281,422.1114906036426
492,492.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.4,0.9,0.8,0.9,20.0,-521.8984081502476,29.40342607886987,612.5090922247281,437.6756277503932
493,493.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.2,0.9,0.9,1.0,20.0,-480.8668897794848,22.074667526002244,540.2656037528191,218.74911883421507
494,494.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.5,1.0,0.8,0.9,45.0,-196.53781681190966,107.28334889774962,597.2624922247281,1887.9994691116308
495,495.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.2,0.9,0.8,0.9,50.0,244.51140118599326,107.28334889774962,569.6406522247281,958.2113538448607
496,496.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.4,0.9,0.8,1.0,20.0,-527.7094899644018,22.074667526002244,612.5090922247281,359.5224211172458
497,497.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.4,0.9,0.8,0.9,35.0,-243.99054936602502,107.28334889774962,569.6406522247281,1578.070097356041
498,498.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.9,0.9,0.9,0.9,25.0,-671.9596041691887,22.074667526002244,609.7711637528191,703.658095169704
499,499.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.3,0.9,1.0,1.0,50.0,-111.83949986536528,107.28334889774962,649.90167528091,1305.7354600819706
500,500.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.9,0.9,50.0,-547.7218205385221,51.036069720851245,637.393003752819,1550.917060295763
501,501.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.8,1.0,0.9,1.0,35.0,-608.5985133860546,22.074667526002244,637.393003752819,641.0690256833071
502,502.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.1,1.0,0.9,1.0,35.0,-139.8578739949288,107.28334889774962,685.0246037528191,685.8767165707904
503,503.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.1,0.9,1.0,1.0,35.0,54.13022667739898,107.28334889774962,649.90167528091,685.8767165707904
504,504.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.4,0.9,0.8,0.9,20.0,-489.8070059236238,29.40342607886987,569.6406522247281,437.6756277503932
505,505.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.9,0.8,0.9,35.0,-738.6904013826944,22.074667526002244,612.5090922247281,774.0447463112193
506,506.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.2,0.9,0.9,0.9,40.0,-36.21006418694616,107.28334889774962,652.6396037528191,958.2113538448607
507,507.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.8,1.0,50.0,-561.9472362008188,51.036069720851245,644.8940922247282,1568.3390288834805
