n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
1611,1611.0,1.0,1.0,2.0,0.1,2.0,2.0,1.0,1.0,0.9,0.7,40.0,-1044.3186944410977,130.58794234320223,3478.514160605181,1319.5694119448876
1612,1612.0,1.0,1.0,2.0,0.3,2.0,2.0,1.0,0.7,1.0,0.8,50.0,-883.9444794456724,130.58794234320223,3244.6918422059457,2280.160946428271
1613,1613.0,1.0,1.0,2.0,0.6,1.0,1.0,0.7,0.8,0.7,1.0,60.0,-723.8720459595256,119.96669715945328,2970.571473223372,3295.1424990305313
1614,1614.0,1.0,1.0,2.0,0.9,1.0,1.0,0.8,0.7,0.9,1.0,40.0,-1831.635198188182,41.50495899604326,3320.8064276844,892.5688017360948
1615,1615.0,1.0,1.0,2.0,0.7,3.0,1.0,0.8,0.9,0.8,0.8,40.0,-1254.7389863861501,60.12499419562551,2636.2655332838904,1120.430589194949
1616,1616.0,1.0,1.0,2.0,0.1,3.0,1.0,0.7,0.9,0.8,0.9,40.0,-678.4378399246125,130.58794234320223,2617.9555260231173,1577.807456468948
1617,1617.0,1.0,1.0,2.0,0.7,1.0,2.0,1.0,0.7,0.8,0.8,35.0,-1666.4014367561965,52.38197966632623,3118.5394422059458,930.5617790723286
1618,1618.0,1.0,1.0,2.0,0.6,3.0,1.0,0.8,0.8,0.8,0.9,25.0,-1506.6093109200929,41.50495899604326,2490.4164804841457,651.7996786447306
1619,1619.0,1.0,1.0,2.0,0.2,3.0,2.0,0.8,0.9,0.9,0.9,45.0,-495.8778612915975,130.58794234320223,2782.98353328389,1993.5437125796243
1620,1620.0,1.0,1.0,2.0,0.1,1.0,2.0,0.7,1.0,0.7,0.8,25.0,-1515.0400121005428,101.2290504822933,3262.269578822862,956.1450716911198
1621,1621.0,1.0,1.0,2.0,0.1,1.0,2.0,0.8,0.9,0.8,0.8,20.0,-1717.4894073286916,77.404691278589,3373.61753328389,615.8851895745444
1622,1622.0,1.0,1.0,2.0,0.6,3.0,1.0,0.9,0.7,0.8,0.8,25.0,-1442.0824305807973,41.50495899604326,2362.8774349451724,627.4766168644445
1623,1623.0,1.0,1.0,2.0,0.8,2.0,1.0,0.8,0.8,0.7,0.7,55.0,-1080.7482739094846,76.26200830265213,2742.746360484145,1709.0078560437173
1624,1624.0,1.0,1.0,2.0,0.1,2.0,2.0,1.0,1.0,0.7,1.0,35.0,-945.2357024208005,130.58794234320223,3071.064480605181,1706.9264787309778
1625,1625.0,1.0,1.0,2.0,0.8,1.0,1.0,0.9,0.9,0.9,0.7,50.0,-1559.48303889641,77.404691278589,3630.8145405446635,1751.725155135488
1626,1626.0,1.0,1.0,2.0,0.3,1.0,2.0,0.9,1.0,1.0,0.8,30.0,-1890.2228391298524,84.26963300998734,4015.5505933444083,1105.516547659745
1627,1627.0,1.0,1.0,2.0,0.7,3.0,2.0,1.0,0.9,0.8,0.7,20.0,-1601.5370534139918,41.50495899604326,2672.885547805436,675.3022421878512
1628,1628.0,1.0,1.0,2.0,0.5,3.0,2.0,0.8,0.8,0.7,0.7,45.0,-721.9294190691562,99.04983837448052,2343.698480484145,1890.0044814962653
